FID,CID,Type,POINT_X,POINT_Y
0, 0, 1, -8236598.12926, 4968189.8873
1, 0, 1, -8236532.4436, 4968041.64467
2, 0, 1, -8235361.68624, 4968016.76564
3, 0, 1, -8237448.25226, 4968512.04015
4, 0, 1, -8236938.60311, 4968715.22796
5, 0, 1, -8236514.44002, 4968006.57714
6, 0, 1, -8237298.71994, 4969502.75245
7, 0, 1, -8235568.49749, 4969790.98261
8, 0, 1, -8235865.34066, 4968097.54065
9, 0, 1, -8237069.8122, 4970452.81816
10, 0, 1, -8237135.53416, 4967917.83413
11, 0, 1, -8235468.69275, 4967937.47399
12, 0, 1, -8236419.82223, 4968870.43201
13, 0, 1, -8235405.04695, 4969795.73913
14, 0, 1, -8235758.21726, 4967969.8212
15, 0, 1, -8237462.22775, 4970197.36813
16, 0, 1, -8236811.43206, 4968674.19033
17, 0, 1, -8236598.15366, 4970039.5269
18, 0, 1, -8236581.56122, 4970248.89347
19, 0, 1, -8236499.53287, 4968095.73185
20, 0, 1, -8235477.61336, 4968008.80587
21, 0, 1, -8235741.55413, 4968184.89586
22, 0, 1, -8236775.45259, 4969979.38028
23, 0, 1, -8236593.36212, 4969272.39187
24, 0, 1, -8236537.69773, 4967953.16386
25, 0, 1, -8237364.99554, 4970169.7926
26, 0, 1, -8236113.9215, 4968127.68375
27, 0, 1, -8236489.62843, 4968490.80634
28, 0, 1, -8237498.74817, 4968573.4806
29, 0, 1, -8236692.11031, 4968569.68551
30, 0, 1, -8237086.87852, 4970375.57294
31, 0, 1, -8236300.52811, 4969697.84672
32, 0, 1, -8236830.50892, 4968498.228
33, 0, 1, -8236611.49043, 4968249.37209
34, 0, 1, -8235625.07998, 4970322.23865
35, 0, 1, -8236469.04142, 4970261.84952
36, 0, 1, -8235410.30371, 4968018.97676
37, 0, 1, -8236725.88382, 4969631.27507
38, 0, 1, -8236976.86967, 4968678.5684
39, 0, 1, -8237241.87488, 4968126.74227
40, 0, 1, -8237231.94768, 4969974.14241
41, 0, 1, -8235748.19773, 4968004.60048
42, 0, 1, -8236632.28917, 4968056.55232
43, 0, 1, -8236693.2987, 4968281.43644
44, 0, 1, -8237375.52534, 4969164.47773
45, 0, 1, -8237508.97872, 4969436.20798
46, 0, 1, -8236891.28256, 4968673.2102
47, 0, 1, -8237148.44985, 4968242.80623
48, 0, 1, -8235992.3063, 4968233.20257
49, 0, 1, -8236680.41415, 4968334.01139
50, 0, 1, -8236448.59779, 4969529.77388
51, 0, 1, -8237067.53784, 4967888.80077
52, 0, 1, -8236775.16454, 4968446.9536
53, 0, 1, -8236556.01899, 4970299.14911
54, 0, 1, -8235739.63308, 4968260.6446
55, 0, 1, -8235609.28748, 4968156.42876
56, 0, 1, -8236058.70882, 4970308.79372
57, 0, 1, -8235976.84254, 4970237.75772
58, 0, 1, -8236607.39019, 4970040.4725
59, 0, 1, -8236782.19568, 4970001.6494
60, 0, 1, -8237017.10485, 4968627.74516
61, 0, 1, -8237309.41913, 4970336.14691
62, 0, 1, -8236511.47579, 4969908.67367
