FID,CID,Type,POINT_X,POINT_Y
0, 0, 4, -13735136.3405, 4785756.16061
1, 0, 4, -13734175.2203, 4786476.9115
2, 0, 4, -13735177.8166, 4787305.99739
3, 0, 4, -13734975.9751, 4787197.14548
4, 0, 4, -13734159.0858, 4786595.6878
5, 0, 4, -13734796.4456, 4787207.12955
6, 0, 4, -13734859.1191, 4786605.70708
7, 0, 4, -13734166.0385, 4787223.41961
8, 0, 4, -13735221.419, 4787678.15703
9, 0, 4, -13735192.2968, 4786741.17738
10, 0, 4, -13735288.1053, 4785473.84776
11, 0, 4, -13735146.0109, 4787267.65518
12, 0, 4, -13735833.7579, 4787173.29505
13, 0, 4, -13734097.3056, 4786848.49862
14, 0, 4, -13734829.3238, 4786285.25479
15, 0, 4, -13735022.7054, 4787695.87762
16, 0, 4, -13734642.2903, 4787177.55584
17, 0, 4, -13735515.2305, 4786145.59189
18, 0, 4, -13734858.7848, 4786550.38834
19, 0, 4, -13735625.2694, 4785266.34809
20, 0, 4, -13735670.9231, 4785202.50563
21, 0, 4, -13734786.7257, 4787188.51867
22, 0, 4, -13735620.0825, 4786553.04787
23, 0, 4, -13735227.972, 4787668.51835
24, 0, 4, -13734928.7201, 4786436.69744
25, 0, 4, -13734997.3158, 4786974.40498
26, 0, 3, -13733721.2342, 4785368.93876
27, 0, 4, -13735344.3872, 4786458.85614
28, 0, 4, -13734001.2135, 4786283.72489
29, 0, 3, -13733811.9139, 4786061.27799
30, 0, 2, -13733750.3826, 4786637.92264
31, 0, 4, -13734199.3883, 4786371.87402
32, 0, 4, -13734835.0363, 4786886.21726
33, 0, 4, -13735540.9753, 4785267.77896
34, 0, 2, -13733730.1569, 4786371.81522
35, 0, 4, -13735476.8918, 4787437.54065
36, 0, 4, -13735545.8672, 4786012.22258
37, 0, 4, -13734082.0803, 4786854.16093
38, 0, 4, -13734071.1931, 4786864.27634
39, 0, 4, -13734676.034, 4786288.94717
40, 0, 4, -13735223.5511, 4786844.1892
41, 0, 4, -13734724.227, 4786047.1912
42, 0, 4, -13734209.9632, 4786796.88964
43, 0, 4, -13734384.1612, 4785873.57595
44, 0, 4, -13734685.7445, 4785760.54175
45, 0, 4, -13734354.9902, 4785788.48192
46, 0, 4, -13735185.3121, 4787124.12495
47, 0, 4, -13735244.3202, 4787340.75362
48, 0, 4, -13735018.2174, 4785929.41627
49, 0, 2, -13733775.9912, 4786933.01299
50, 0, 4, -13734327.9787, 4785440.36108
51, 0, 4, -13735656.2438, 4787022.44657
52, 0, 4, -13735639.7171, 4787024.99554
53, 0, 4, -13735434.5979, 4786943.47497
54, 0, 4, -13735369.1773, 4787110.37984
55, 0, 4, -13735023.7187, 4785841.05182
56, 0, 4, -13734953.5057, 4787491.96431
57, 0, 4, -13735336.2647, 4785200.49988
58, 0, 4, -13734663.3832, 4785971.08388
59, 0, 4, -13734486.3515, 4787088.40879
60, 0, 4, -13734587.3413, 4785594.0632
61, 0, 3, -13733606.7323, 4785356.84374
62, 0, 3, -13733922.9358, 4787202.98725
63, 0, 4, -13734530.7718, 4786278.45861
64, 0, 4, -13734072.9214, 4786268.24561
65, 0, 4, -13734038.8475, 4786664.4946
66, 0, 4, -13734234.8393, 4786977.49191
67, 0, 4, -13735677.7402, 4786519.37398
68, 0, 4, -13734306.1123, 4785792.88426
69, 0, 4, -13734753.2523, 4785435.84574
70, 0, 4, -13734429.6393, 4785992.3315
71, 0, 4, -13735311.0727, 4787162.89879
72, 0, 4, -13735605.8802, 4786787.69744
73, 0, 4, -13735621.5565, 4786900.32561
74, 0, 3, -13733630.0138, 4785351.91592
75, 0, 4, -13735018.5601, 4787694.36804
76, 0, 4, -13734239.8871, 4786256.47778
77, 0, 4, -13734157.2976, 4786771.04066
78, 0, 4, -13734322.0947, 4785782.15728
79, 0, 4, -13734334.7418, 4786913.00705
80, 0, 4, -13734698.096, 4786748.9447
81, 0, 3, -13733980.5029, 4787138.57962
82, 0, 4, -13734589.3797, 4787057.89423
83, 0, 4, -13735194.8117, 4787319.55936
84, 0, 4, -13734790.8228, 4785504.95901
85, 0, 4, -13734248.6993, 4785818.79524
86, 0, 4, -13735689.6879, 4785214.58569
87, 0, 4, -13734127.7851, 4787600.52484
88, 0, 4, -13734037.3426, 4786549.74798
89, 0, 4, -13734831.1265, 4787276.60038
90, 0, 4, -13734386.675, 4785221.40378
91, 0, 4, -13734979.6403, 4786581.25396
92, 0, 4, -13734247.0806, 4786991.68481
93, 0, 4, -13735171.6203, 4786051.50157
94, 0, 4, -13734525.6667, 4786126.76456
95, 0, 4, -13734630.0727, 4785959.21392
96, 0, 4, -13734754.2913, 4785434.76921
97, 0, 2, -13733743.4582, 4786581.30696
98, 0, 4, -13735106.3772, 4787555.60437
99, 0, 4, -13735221.698, 4786511.22562
100, 0, 4, -13735428.2924, 4786007.62206
101, 0, 4, -13734591.0841, 4786235.53477
102, 0, 4, -13734195.11, 4787213.47179
103, 0, 4, -13735498.4961, 4787425.98145
104, 0, 2, -13733817.8649, 4786806.62052
105, 0, 4, -13735571.0463, 4786592.27814
106, 0, 4, -13734747.0431, 4787658.524
107, 0, 4, -13734764.7007, 4787039.27829
108, 0, 1, -13735978.1974, 4786278.65071
109, 0, 4, -13734957.8609, 4787476.36102
110, 0, 4, -13735338.4805, 4786395.11866
111, 0, 4, -13734980.8181, 4786630.49798
112, 0, 4, -13734276.3488, 4787022.4568
113, 0, 4, -13734030.2453, 4787010.22996
114, 0, 4, -13734461.5364, 4786167.18464
115, 0, 4, -13734634.2771, 4786477.24589
116, 0, 4, -13733968.2929, 4786725.4226
117, 0, 4, -13734030.393, 4787061.44531
118, 0, 4, -13735777.1212, 4786081.34629
119, 0, 4, -13734959.7676, 4786731.21999
120, 0, 2, -13733813.638, 4786761.7221
121, 0, 4, -13734565.2188, 4787047.60607
122, 0, 4, -13734851.6879, 4787093.51175
123, 0, 4, -13734654.6054, 4787150.58698
124, 0, 4, -13734614.6062, 4786193.84961
125, 0, 4, -13734032.5319, 4787153.95472
126, 0, 4, -13735491.1707, 4787008.57253
127, 0, 2, -13733779.3664, 4787048.41988
128, 0, 4, -13735556.0583, 4785596.74684
129, 0, 4, -13734804.7444, 4787424.11339
130, 0, 4, -13734272.9374, 4785558.20986
131, 0, 4, -13734637.0184, 4785200.61811
132, 0, 3, -13733641.7197, 4786268.22584
133, 0, 4, -13734836.9124, 4786880.40139
134, 0, 4, -13734252.2433, 4786838.90413
135, 0, 4, -13735142.704, 4785337.66828
136, 0, 4, -13734927.4376, 4785474.55403
137, 0, 4, -13735037.1385, 4785687.25022
138, 0, 3, -13733979.639, 4787109.45981
139, 0, 4, -13735173.44, 4786040.69932
140, 0, 4, -13734944.4598, 4787153.07779
141, 0, 4, -13734151.5009, 4786375.33541
142, 0, 4, -13734653.2503, 4786892.52169
143, 0, 4, -13734291.8435, 4787331.48582
144, 0, 4, -13734840.1403, 4786447.70972
145, 0, 4, -13734697.6255, 4785324.13431
146, 0, 4, -13735181.3375, 4786451.72705
147, 0, 4, -13735277.8143, 4786284.83386
148, 0, 4, -13735004.4708, 4787454.05205
149, 0, 4, -13735905.9072, 4785581.15008
150, 0, 4, -13735776.1845, 4785972.44939
151, 0, 4, -13735007.5358, 4787010.9266
152, 0, 4, -13734711.1228, 4787127.16026
153, 0, 4, -13735155.1076, 4785359.04738
154, 0, 4, -13734439.9388, 4785312.51619
155, 0, 4, -13734149.2072, 4787461.39279
156, 0, 3, -13733962.6908, 4786928.0506
157, 0, 4, -13735175.7755, 4787217.93075
158, 0, 4, -13734946.1685, 4787480.32279
159, 0, 4, -13734714.7712, 4785807.55399
160, 0, 4, -13735430.8364, 4785406.53193
161, 0, 4, -13734212.5022, 4786373.11975
162, 0, 4, -13734536.8744, 4786649.50454
163, 0, 3, -13733706.7885, 4786982.80252
164, 0, 4, -13734995.8338, 4786976.9526
165, 0, 4, -13734675.6908, 4785980.44759
166, 0, 4, -13735616.1536, 4785656.48834
167, 0, 4, -13735322.8972, 4785497.41389
168, 0, 4, -13735382.4482, 4785839.20195
169, 0, 4, -13734437.5173, 4786863.50362
170, 0, 3, -13733942.312, 4786637.03558
171, 0, 4, -13734327.2885, 4786752.53311
172, 0, 4, -13735281.2529, 4785469.08227
173, 0, 4, -13734214.5699, 4787341.38895
174, 0, 4, -13735489.9783, 4787678.80613
175, 0, 4, -13735012.1224, 4786979.57348
176, 0, 4, -13734883.8548, 4785248.39427
177, 0, 4, -13734088.659, 4786448.37742
178, 0, 4, -13734727.548, 4786922.87734
179, 0, 4, -13734311.1024, 4786596.89499
180, 0, 4, -13734851.2496, 4786687.23097
181, 0, 4, -13734912.852, 4787577.59375
182, 0, 4, -13734712.018, 4785799.62457
183, 0, 4, -13734050.0079, 4787270.73005
184, 0, 4, -13734774.7919, 4787042.3813
185, 0, 4, -13735768.1417, 4786216.37472
186, 0, 1, -13736005.9954, 4786131.81961
187, 0, 4, -13734537.0369, 4785523.06742
188, 0, 4, -13734838.2267, 4786789.33073
189, 0, 3, -13733577.9205, 4785620.66972
190, 0, 4, -13734839.1869, 4786758.71808
191, 0, 2, -13733808.6947, 4787092.84156
192, 0, 4, -13735135.8575, 4785326.11377
193, 0, 4, -13734350.8351, 4787044.13524
194, 0, 4, -13735548.3078, 4787391.74415
195, 0, 4, -13735733.0215, 4786417.68139
196, 0, 4, -13734798.35, 4785219.74584
197, 0, 4, -13733991.3138, 4787596.965
198, 0, 4, -13735695.9102, 4787011.90877
199, 0, 3, -13733964.9285, 4786884.11051
200, 0, 3, -13733722.2068, 4787168.26639
201, 0, 4, -13735014.1485, 4786044.07752
202, 0, 4, -13735540.1049, 4786033.30906
203, 0, 3, -13733826.0525, 4786253.43468
204, 0, 2, -13733752.9885, 4786687.53866
205, 0, 4, -13734846.106, 4786708.75392
206, 0, 4, -13733966.3165, 4787617.34626
207, 0, 2, -13733838.8521, 4787039.47908
208, 0, 4, -13735182.0071, 4787604.38779
209, 0, 4, -13734843.5326, 4786837.21798
210, 0, 4, -13734526.2314, 4786644.15672
211, 0, 1, -13735956.5469, 4786233.30595
212, 0, 4, -13735463.1899, 4785859.38486
213, 0, 2, -13733830.0552, 4786762.50794
214, 0, 4, -13734621.3697, 4785641.94006
215, 0, 4, -13735187.5293, 4786468.59569
216, 0, 4, -13734741.3039, 4786422.2204
217, 0, 4, -13735782.0243, 4786017.60953
218, 0, 4, -13734918.0359, 4787514.80767
219, 0, 4, -13734677.9528, 4785986.25825
220, 0, 4, -13735363.6778, 4785501.50131
221, 0, 4, -13734768.5392, 4786281.16572
222, 0, 3, -13733798.1495, 4785755.23193
223, 0, 4, -13734670.5351, 4787099.30819
224, 0, 4, -13735403.4772, 4787467.70119
225, 0, 4, -13735115.0133, 4785717.10591
226, 0, 2, -13733828.5531, 4786931.42975
227, 0, 4, -13735099.734, 4785684.71623
228, 0, 4, -13734652.5797, 4787676.2029
229, 0, 2, -13733754.5105, 4786695.28143
230, 0, 4, -13734307.3423, 4785497.30744
231, 0, 4, -13734845.3742, 4786486.48906
232, 0, 4, -13734432.9475, 4786977.77491
233, 0, 4, -13735426.5645, 4785387.95925
234, 0, 4, -13734084.8377, 4786840.63046
235, 0, 4, -13735391.5799, 4787475.39908
236, 0, 4, -13735219.4429, 4786409.45768
237, 0, 4, -13735229.8571, 4787094.18128
238, 0, 4, -13735554.9044, 4785967.37855
239, 0, 3, -13733940.8655, 4786613.21537
