FID,CID,Type,POINT_X,POINT_Y
0, 0, 6, 256541.51069, 6250070.92347
1, 0, 6, 254585.032127, 6251559.69836
2, 0, 6, 256534.488525, 6250137.83321
3, 0, 6, 256565.393796, 6250093.03593
4, 0, 6, 255928.112388, 6250301.95634
5, 0, 6, 255236.551328, 6250151.26949
6, 0, 6, 256234.067594, 6250416.31606
7, 0, 6, 255028.359935, 6249826.97139
8, 0, 6, 255144.566771, 6251097.48047
9, 0, 6, 256163.661854, 6251301.78726
10, 0, 6, 256152.281232, 6249802.51503
11, 0, 6, 255843.822247, 6250271.91846
12, 0, 6, 255594.212013, 6250729.59902
13, 0, 6, 255842.116703, 6250694.56969
14, 0, 6, 254909.266011, 6249722.57059
15, 0, 6, 255307.537084, 6249996.57743
16, 0, 6, 256711.155735, 6250233.46029
17, 0, 6, 255153.244898, 6250633.58446
18, 0, 6, 256083.486754, 6249935.12131
19, 0, 6, 255739.703156, 6250024.4335
20, 0, 6, 254952.173799, 6250353.41482
21, 0, 6, 254917.003575, 6250284.13219
22, 0, 6, 256278.824122, 6250464.61121
23, 0, 6, 255456.883049, 6250727.05047
24, 0, 6, 255878.894237, 6250207.28482
25, 0, 6, 255498.575008, 6249432.69742
26, 0, 6, 255231.638904, 6250529.83677
27, 0, 6, 256152.011183, 6249641.70828
28, 0, 6, 256079.935598, 6250270.85711
29, 0, 6, 256241.074216, 6251744.22184
30, 0, 6, 256521.290382, 6250290.18584
31, 0, 6, 256280.676635, 6251398.52408
32, 0, 6, 256260.681209, 6251442.74165
33, 0, 6, 255380.466776, 6251101.42694
34, 0, 3, 256853.918287, 6249450.43566
35, 0, 6, 255906.996388, 6250617.72768
36, 0, 6, 254697.365723, 6251650.97757
37, 0, 6, 255195.291617, 6249580.10522
38, 0, 6, 254901.755958, 6251351.63117
39, 0, 6, 256044.51084, 6250217.09019
40, 0, 6, 255658.86897, 6250668.84001
41, 0, 6, 255838.397736, 6250529.79685
42, 0, 6, 255447.386253, 6250561.45445
43, 0, 6, 255591.906266, 6250629.40348
44, 0, 6, 255825.707292, 6249940.79365
45, 0, 6, 255552.898676, 6250351.79188
46, 0, 6, 256391.663904, 6250922.55374
47, 0, 6, 256168.394719, 6251286.82518
48, 0, 6, 256528.821578, 6251556.6999
49, 0, 6, 256074.090078, 6250829.54592
50, 0, 6, 255692.937387, 6250392.54256
51, 0, 6, 255612.121202, 6251326.69681
52, 0, 6, 254861.402166, 6249636.77104
53, 0, 6, 256139.347868, 6250647.15185
54, 0, 6, 254919.810253, 6251029.03665
55, 0, 6, 255442.400473, 6250164.08569
56, 0, 6, 254741.316759, 6250156.34624
57, 0, 6, 255381.672396, 6251570.57768
58, 0, 6, 254708.380999, 6250132.03978
59, 0, 6, 254485.204291, 6249888.52503
60, 0, 6, 256657.466563, 6251293.11329
61, 0, 6, 254525.400541, 6251624.4418
62, 0, 6, 255136.131372, 6249615.68814
63, 0, 6, 256260.271989, 6251558.5325
64, 0, 6, 256966.253134, 6250793.79438
65, 0, 6, 255617.499538, 6251089.88036
66, 0, 6, 256436.670263, 6250894.51657
67, 0, 6, 255952.907691, 6250834.08805
68, 0, 6, 254820.518869, 6250155.8207
69, 0, 6, 254539.44947, 6250960.512
70, 0, 6, 255121.406409, 6250369.78379
71, 0, 6, 256341.257268, 6251207.88763
72, 0, 6, 256931.525152, 6249963.40451
73, 0, 6, 255648.980896, 6250926.49495
74, 0, 6, 255719.79177, 6249414.14249
75, 0, 6, 256261.263394, 6251451.04807
76, 0, 6, 255636.672584, 6250905.91685
77, 0, 3, 256758.081586, 6249540.50073
78, 0, 6, 255004.569491, 6251130.79803
79, 0, 6, 255691.315481, 6251095.87105
80, 0, 6, 255219.579734, 6250159.53353
81, 0, 6, 256137.755294, 6250403.6291
82, 0, 6, 255129.70222, 6251116.06467
83, 0, 6, 255283.976833, 6249537.04297
84, 0, 6, 256346.049516, 6250904.33376
85, 0, 6, 256104.684387, 6251291.26762
86, 0, 6, 255066.083209, 6251195.95864
87, 0, 6, 256043.281374, 6251825.5767
88, 0, 6, 256245.156346, 6251707.40241
89, 0, 6, 254811.594607, 6250179.4911
90, 0, 6, 256417.253889, 6250970.00253
91, 0, 6, 256148.201421, 6251224.60905
92, 0, 6, 254890.662145, 6250345.18357
93, 0, 6, 255718.187713, 6251403.37212
94, 0, 6, 256170.810211, 6251304.2093
95, 0, 6, 256451.402184, 6250608.17086
96, 0, 6, 255593.209738, 6250863.35801
97, 0, 6, 256225.926942, 6250425.946
98, 0, 6, 256151.407498, 6251207.17541
99, 0, 6, 255732.367987, 6251162.86973
100, 0, 6, 254688.236519, 6251637.95872
101, 0, 6, 255898.085481, 6250633.13064
102, 0, 6, 255619.20005, 6251160.33594
103, 0, 6, 256118.311414, 6250678.05501
104, 0, 6, 255924.577803, 6250398.54282
105, 0, 6, 255518.209141, 6251235.87872
106, 0, 6, 256137.8205, 6251173.75728
107, 0, 6, 255774.080112, 6250552.44719
108, 0, 6, 255544.032818, 6249698.75198
109, 0, 6, 255577.69059, 6250005.84897
110, 0, 6, 254652.751805, 6250059.85395
111, 0, 6, 256007.626834, 6250526.51706
112, 0, 6, 256020.076014, 6250729.63435
113, 0, 6, 254911.117443, 6250504.32518
114, 0, 6, 254559.983327, 6251700.73538
115, 0, 6, 255651.230824, 6250297.32226
116, 0, 3, 256841.233839, 6249751.31622
117, 0, 6, 256262.082477, 6251457.27808
118, 0, 6, 255206.680966, 6250164.00115
119, 0, 6, 256190.912999, 6249939.95268
120, 0, 6, 256474.047703, 6251333.8071
121, 0, 6, 254774.690093, 6249486.05324
122, 0, 6, 255670.034422, 6251106.41268
123, 0, 6, 254551.209059, 6251699.16012
124, 0, 6, 255648.367567, 6250917.8775
125, 0, 6, 255163.220433, 6249522.93704
126, 0, 6, 255712.556721, 6250245.12466
127, 0, 6, 256611.978071, 6250705.51622
128, 0, 6, 255671.032774, 6250996.07375
129, 0, 6, 255736.73104, 6250034.24766
130, 0, 6, 254986.973443, 6249858.83927
131, 0, 6, 256554.555811, 6251330.92937
132, 0, 6, 255392.195831, 6250364.96131
133, 0, 6, 256410.325376, 6250036.33157
134, 0, 6, 256432.693396, 6250911.00232
135, 0, 6, 256669.579721, 6251265.35596
136, 0, 6, 254925.174943, 6251040.91063
137, 0, 6, 255606.807342, 6250801.49888
138, 0, 6, 254872.704695, 6250302.85647
139, 0, 6, 255279.278443, 6251827.3485
140, 0, 6, 255850.910336, 6250383.72841
141, 0, 6, 255243.00316, 6250881.9392
142, 0, 6, 254898.341639, 6250455.7302
143, 0, 6, 255444.304017, 6249740.22955
144, 0, 6, 255426.249473, 6249650.30822
145, 0, 6, 255676.627743, 6249889.94109
146, 0, 6, 255763.044623, 6250773.46516
147, 0, 6, 255789.185089, 6250235.13253
148, 0, 6, 255567.93105, 6250259.18021
149, 0, 6, 255447.85453, 6250169.18794
150, 0, 6, 256068.530381, 6250832.82761
151, 0, 6, 255595.572582, 6250495.76018
152, 0, 6, 254701.806857, 6250744.94485
153, 0, 6, 255910.98826, 6250880.64168
154, 0, 6, 256050.464224, 6250451.81488
155, 0, 6, 255725.517297, 6250801.16173
156, 0, 6, 256198.604086, 6250220.49023
157, 0, 6, 254561.900874, 6251484.00331
158, 0, 6, 256688.519867, 6251035.49405
159, 0, 6, 255985.208084, 6250153.81977
160, 0, 6, 255740.922465, 6249944.05618
161, 0, 6, 254858.097686, 6250101.98074
162, 0, 6, 255978.326697, 6250258.51128
163, 0, 3, 256763.676974, 6249664.49148
164, 0, 6, 255490.305915, 6249438.62175
165, 0, 6, 256700.428964, 6251328.82925
166, 0, 6, 255168.6908, 6250589.35951
167, 0, 6, 255149.007605, 6250632.0315
168, 0, 6, 256577.02875, 6251001.65691
169, 0, 6, 255183.254409, 6251064.61574
170, 0, 6, 254513.633206, 6249906.34844
171, 0, 6, 254806.67576, 6251129.1789
