FID,CID,Type,POINT_X,POINT_Y
0, 0, 5, -13181609.3174, 4020275.71253
1, 0, 5, -13181510.0024, 4021723.31999
2, 0, 5, -13182092.8125, 4020377.366
3, 0, 5, -13182237.5163, 4019787.31829
4, 0, 5, -13182755.1672, 4020321.85154
5, 0, 5, -13182778.1882, 4020378.66576
6, 0, 5, -13181226.108, 4020513.77739
7, 0, 5, -13182849.1784, 4020239.51216
8, 0, 5, -13183458.1339, 4020993.00098
9, 0, 5, -13182508.1191, 4019632.18393
10, 0, 5, -13181755.0039, 4020989.65199
11, 0, 5, -13181802.2532, 4021821.55914
12, 0, 5, -13183657.617, 4021716.37096
13, 0, 5, -13182161.0256, 4020882.61524
14, 0, 5, -13181663.3285, 4021748.29006
15, 0, 5, -13182951.3711, 4020300.64392
16, 0, 5, -13183100.1709, 4020929.73756
17, 0, 5, -13182909.1692, 4020367.98116
18, 0, 5, -13182259.4142, 4021113.35776
19, 0, 5, -13182231.07, 4020207.26387
20, 0, 5, -13182204.1183, 4021211.53954
21, 0, 5, -13182893.2265, 4021639.09835
22, 0, 5, -13182914.0453, 4020813.33034
23, 0, 5, -13181963.7987, 4021669.14863
24, 0, 5, -13181850.2094, 4020102.27756
25, 0, 5, -13182377.9825, 4020047.67056
26, 0, 5, -13181611.6852, 4021279.93446
27, 0, 5, -13181979.5803, 4019941.78321
28, 0, 5, -13183507.4957, 4021403.78282
29, 0, 5, -13182174.5975, 4022131.25283
30, 0, 5, -13181965.6848, 4019777.56042
31, 0, 5, -13182036.1344, 4020232.73029
32, 0, 5, -13182656.255, 4021791.98707
33, 0, 5, -13182284.815, 4021104.49138
34, 0, 5, -13181666.5177, 4021673.47485
35, 0, 5, -13182828.0491, 4020069.29373
36, 0, 5, -13182909.5878, 4021585.00073
37, 0, 5, -13183102.0113, 4020945.70323
38, 0, 5, -13182083.0003, 4022165.62498
39, 0, 3, -13181383.5047, 4021118.56889
40, 0, 5, -13183277.963, 4021284.10726
41, 0, 5, -13181257.8857, 4020028.58799
42, 0, 5, -13183219.1422, 4020222.69531
43, 0, 4, -13183662.8077, 4022114.30073
44, 0, 5, -13182212.6886, 4021322.43455
45, 0, 5, -13181608.3484, 4020111.31113
46, 0, 5, -13183261.1935, 4020909.31425
47, 0, 5, -13181613.0745, 4020449.10513
48, 0, 5, -13181845.3953, 4021942.23851
49, 0, 5, -13181763.7968, 4021727.10604
50, 0, 5, -13183325.1959, 4021648.33618
51, 0, 5, -13181594.1257, 4020415.3345
52, 0, 5, -13181614.5058, 4021346.26058
53, 0, 5, -13182228.9252, 4021431.84062
54, 0, 5, -13183105.2453, 4020946.6437
55, 0, 5, -13182953.3016, 4020245.6782
56, 0, 5, -13181700.4715, 4020582.86526
57, 0, 5, -13183246.6966, 4021034.10408
58, 0, 5, -13183174.2196, 4019659.28362
59, 0, 5, -13181766.2493, 4021135.23393
60, 0, 5, -13181438.0162, 4022058.55089
61, 0, 5, -13183263.4386, 4021150.08907
62, 0, 5, -13181625.2314, 4020532.1935
63, 0, 5, -13181618.0415, 4021682.64015
64, 0, 5, -13181758.217, 4021137.36443
65, 0, 5, -13181633.645, 4020223.83109
66, 0, 5, -13182008.3194, 4021083.69234
67, 0, 5, -13181881.668, 4021119.7631
68, 0, 5, -13181520.1297, 4020569.75855
69, 0, 5, -13182226.3824, 4020842.55723
70, 0, 5, -13182287.8742, 4020053.49458
71, 0, 5, -13182063.1938, 4021089.86661
72, 0, 5, -13183347.7807, 4021290.38025
73, 0, 5, -13183206.6768, 4021894.35024
74, 0, 5, -13182675.1569, 4020994.00606
75, 0, 5, -13181723.5606, 4020548.75521
76, 0, 5, -13182257.7946, 4021078.2388
77, 0, 5, -13181608.92, 4021967.0592
78, 0, 5, -13181635.3666, 4020427.17382
79, 0, 5, -13183495.2763, 4021340.425
80, 0, 5, -13182280.9204, 4020331.34544
81, 0, 5, -13183175.3415, 4022036.01108
82, 0, 5, -13181732.1943, 4020524.6797
83, 0, 5, -13182868.2611, 4020162.00718
84, 0, 3, -13181353.109, 4020856.80464
85, 0, 5, -13183314.2169, 4020844.87343
86, 0, 5, -13181383.8001, 4021994.40073
87, 0, 5, -13181236.9935, 4021637.78029
88, 0, 5, -13181247.4345, 4020326.99876
89, 0, 4, -13183370.7816, 4022151.06489
90, 0, 5, -13183261.6169, 4020601.82459
91, 0, 5, -13183313.9607, 4020862.14038
92, 0, 5, -13182628.5635, 4019737.90346
93, 0, 5, -13181625.2697, 4020530.97017
94, 0, 5, -13183234.6721, 4020368.90349
95, 0, 5, -13182234.0757, 4020934.63237
96, 0, 5, -13183624.2015, 4021983.22175
97, 0, 5, -13181708.111, 4020563.42621
98, 0, 5, -13181926.3695, 4021638.57182
99, 0, 5, -13182203.0928, 4021191.17517
100, 0, 5, -13182304.1618, 4021514.24097
101, 0, 5, -13183019.3822, 4022057.18874
102, 0, 1, -13183675.7628, 4020039.66959
103, 0, 5, -13181821.9552, 4020385.27766
104, 0, 5, -13183374.7935, 4020912.94136
105, 0, 5, -13182283.0885, 4021103.90113
106, 0, 5, -13182425.6406, 4022130.67125
107, 0, 5, -13183292.5513, 4020782.44432
108, 0, 5, -13182277.6132, 4019820.96788
109, 0, 5, -13182737.6584, 4019729.26538
110, 0, 5, -13183446.5729, 4021515.0428
111, 0, 2, -13181196.8265, 4020739.42856
112, 0, 5, -13183214.6814, 4020920.87166
113, 0, 5, -13182539.6806, 4020354.44883
114, 0, 5, -13181615.9679, 4020103.34036
115, 0, 5, -13182209.1015, 4020698.62333
116, 0, 5, -13181588.133, 4020471.81148
117, 0, 5, -13183370.9118, 4021527.346
118, 0, 5, -13182245.001, 4022092.30526
119, 0, 5, -13182510.4728, 4019766.5527
