FID,CID,Type,POINT_X,POINT_Y
0, 0, 3, 13082105.3265, 4355509.98333
1, 0, 3, 13082240.0128, 4356238.74743
2, 0, 4, 13083329.5995, 4357340.99746
3, 0, 2, 13082165.0185, 4357113.09479
4, 0, 3, 13081700.7701, 4355820.47839
5, 0, 2, 13081803.2947, 4357141.1396
6, 0, 3, 13083610.141, 4357081.46586
7, 0, 3, 13083588.7486, 4357236.89865
8, 0, 4, 13083305.8145, 4357402.63337
9, 0, 3, 13082220.3434, 4356357.92144
10, 0, 3, 13083350.4049, 4357059.64984
11, 0, 1, 13082829.1455, 4355321.55534
12, 0, 3, 13083477.1431, 4357093.74262
13, 0, 3, 13081894.3456, 4355186.07542
14, 0, 3, 13082247.4162, 4356133.86185
15, 0, 3, 13083181.0067, 4357015.7842
16, 0, 3, 13082343.6404, 4355142.88753
17, 0, 3, 13082441.2644, 4356461.96488
18, 0, 3, 13083646.9401, 4356683.58908
19, 0, 3, 13082855.0388, 4355980.56396
20, 0, 2, 13081830.6127, 4357138.33663
21, 0, 3, 13082413.1278, 4356329.43413
22, 0, 3, 13082873.229, 4357284.70533
23, 0, 3, 13082038.7788, 4355152.39844
24, 0, 4, 13083444.5788, 4357180.45576
25, 0, 3, 13083635.5955, 4356682.13778
26, 0, 2, 13081691.6521, 4357143.94267
27, 0, 3, 13083765.174, 4357006.89202
28, 0, 3, 13083149.4762, 4356865.5278
29, 0, 3, 13082243.5, 4356105.88878
30, 0, 3, 13083561.4307, 4356623.55231
31, 0, 3, 13082769.1734, 4356628.05562
32, 0, 3, 13082191.4685, 4356140.43013
33, 0, 1, 13082786.287, 4355261.83014
34, 0, 4, 13083385.4525, 4357388.90043
35, 0, 3, 13082823.8032, 4357301.64319
36, 0, 3, 13082786.3227, 4355947.07197
37, 0, 3, 13082568.7815, 4355867.40284
38, 0, 3, 13082428.9392, 4356219.55191
39, 0, 4, 13083180.3355, 4357470.36319
40, 0, 3, 13082353.4747, 4355174.44655
41, 0, 2, 13081904.4129, 4357185.1819
42, 0, 3, 13081755.8538, 4355639.30169
43, 0, 3, 13083717.1086, 4357022.67233
44, 0, 3, 13082851.9707, 4356640.21233
45, 0, 3, 13082286.2501, 4356248.04399
46, 0, 1, 13082992.8051, 4355715.10054
47, 0, 3, 13081702.4438, 4355795.83596
48, 0, 3, 13082330.143, 4356294.57637
49, 0, 3, 13082971.558, 4356310.91102
50, 0, 3, 13083358.1505, 4357054.96965
51, 0, 1, 13082860.2061, 4355108.73229
52, 0, 3, 13082827.7487, 4356661.56996
53, 0, 3, 13081868.7107, 4355516.35342
54, 0, 2, 13081253.7105, 4357390.86139
55, 0, 3, 13082998.7073, 4356330.64081
56, 0, 3, 13083065.0935, 4356584.6517
57, 0, 3, 13081876.1898, 4355512.49137
58, 0, 3, 13082139.7664, 4355364.80953
59, 0, 3, 13082262.3162, 4355938.37529
60, 0, 4, 13083509.372, 4357214.534
61, 0, 3, 13082190.8195, 4356156.32712
62, 0, 2, 13081570.4238, 4357226.66489
63, 0, 3, 13082277.0745, 4356222.10829
64, 0, 3, 13082868.3414, 4356551.91192
65, 0, 3, 13082070.2912, 4355133.02268
66, 0, 3, 13083132.8762, 4356554.6202
67, 0, 3, 13082312.2205, 4355930.66773
68, 0, 3, 13082234.3891, 4356226.57847
69, 0, 3, 13082014.7284, 4355573.3851
70, 0, 3, 13083274.2608, 4356555.39132
71, 0, 4, 13083271.8608, 4357279.16525
72, 0, 4, 13083631.724, 4357314.24671
73, 0, 4, 13083717.8831, 4357327.68827
74, 0, 1, 13082878.2365, 4355395.93122
75, 0, 4, 13083747.0096, 4357304.04326
76, 0, 4, 13083432.7297, 4357221.9855
77, 0, 3, 13082978.3867, 4356090.21455
78, 0, 3, 13082516.4455, 4356306.94282
79, 0, 3, 13082645.0658, 4355890.32444
80, 0, 3, 13082202.3683, 4356115.10111
81, 0, 3, 13082213.0686, 4356450.10928
82, 0, 3, 13083043.59, 4357073.09194
83, 0, 3, 13082103.7666, 4355960.80169
84, 0, 3, 13082240.1626, 4355920.17101
85, 0, 3, 13081962.696, 4355209.26789
86, 0, 3, 13083696.7116, 4356717.00418
87, 0, 3, 13082199.7144, 4356109.50897
88, 0, 2, 13082031.8973, 4357150.85272
89, 0, 3, 13082158.8552, 4356282.81624
90, 0, 3, 13082397.6274, 4356217.5701
91, 0, 3, 13083622.3254, 4356671.67682
92, 0, 3, 13083563.1666, 4356623.44282
93, 0, 3, 13081739.1918, 4355657.52785
94, 0, 3, 13083228.9009, 4356933.367
95, 0, 2, 13081404.9434, 4357448.56381
96, 0, 2, 13081882.1298, 4357176.40275
97, 0, 3, 13082003.9336, 4356371.39958
98, 0, 3, 13081709.6889, 4355158.71437
99, 0, 2, 13081699.2737, 4357515.03626
100, 0, 2, 13081454.0559, 4357443.02952
101, 0, 3, 13082729.7625, 4355944.13123
102, 0, 3, 13082860.6244, 4356571.56517
103, 0, 3, 13082567.179, 4355866.6271
104, 0, 4, 13083273.8698, 4357450.21135
105, 0, 4, 13083167.7344, 4357507.10799
106, 0, 1, 13082893.6997, 4355423.61873
107, 0, 2, 13082033.8109, 4357143.16153
108, 0, 3, 13083006.0506, 4357135.17808
109, 0, 4, 13083321.3654, 4357468.7925
110, 0, 3, 13083121.3067, 4356831.22057
111, 0, 3, 13082925.3736, 4356510.66665
112, 0, 3, 13082310.8558, 4356272.87273
113, 0, 4, 13083343.311, 4357275.86988
114, 0, 3, 13082201.7562, 4355927.14507
115, 0, 3, 13083037.3751, 4357080.31851
116, 0, 3, 13083041.9038, 4356356.69881
117, 0, 3, 13082023.7279, 4355570.18499
118, 0, 2, 13081291.2252, 4357396.77316
119, 0, 3, 13082147.1297, 4356386.63257
120, 0, 3, 13081708.6798, 4355774.61616
121, 0, 3, 13083139.526, 4357026.22649
122, 0, 3, 13082245.5675, 4356367.48552
123, 0, 1, 13082976.0795, 4355690.17058
124, 0, 3, 13082832.3519, 4356654.17118
125, 0, 2, 13081587.0152, 4357413.35925
126, 0, 3, 13081886.6107, 4356327.72557
127, 0, 3, 13083317.8597, 4356967.44941
128, 0, 2, 13081592.7904, 4357262.55644
129, 0, 3, 13082899.9406, 4357260.87337
