FID,CID,Type,POINT_X,POINT_Y
0, 0, 3, -13620890.087, 4509054.17302
1, 0, 3, -13621304.8097, 4510039.14936
2, 0, 3, -13622471.1293, 4508378.0026
3, 0, 3, -13622515.8504, 4508345.99586
4, 0, 3, -13621686.237, 4507987.27254
5, 0, 3, -13621719.9246, 4508001.78708
6, 0, 3, -13621583.695, 4508422.98869
7, 0, 3, -13622150.2118, 4507982.55874
8, 0, 3, -13622336.6171, 4508500.80891
9, 0, 3, -13622204.4588, 4508141.01656
10, 0, 3, -13622160.6485, 4509301.71327
11, 0, 3, -13620778.242, 4510026.31583
12, 0, 3, -13620552.3151, 4509575.70672
13, 0, 3, -13620824.9842, 4509425.88101
14, 0, 3, -13621330.529, 4510054.57978
15, 0, 3, -13622689.4693, 4508628.79124
16, 0, 3, -13622474.6063, 4508482.35864
17, 0, 3, -13622246.4141, 4507580.9878
18, 0, 3, -13622506.1747, 4508413.12908
19, 0, 3, -13622403.1926, 4509097.46119
20, 0, 3, -13620814.4337, 4509958.09529
21, 0, 3, -13621736.7098, 4508456.73565
22, 0, 3, -13622360.2293, 4508985.635
23, 0, 3, -13622378.2591, 4508928.40481
24, 0, 3, -13621778.8504, 4507817.83416
25, 0, 3, -13620863.5698, 4509665.31922
26, 0, 3, -13622490.2453, 4509548.62974
27, 0, 3, -13620494.0847, 4509220.5345
28, 0, 3, -13622318.5375, 4508888.19763
29, 0, 1, -13620804.4855, 4507571.10618
30, 0, 3, -13622129.4393, 4508154.72699
31, 0, 3, -13621867.0618, 4507832.26597
32, 0, 3, -13622082.4805, 4509068.44556
33, 0, 3, -13622167.1635, 4508291.65146
34, 0, 3, -13622297.3744, 4509093.42892
35, 0, 3, -13622132.462, 4509152.70114
36, 0, 3, -13620694.5365, 4509582.08017
37, 0, 3, -13621945.5747, 4508280.05807
38, 0, 3, -13620555.8943, 4509580.8054
39, 0, 3, -13622040.2928, 4508829.93056
40, 0, 3, -13622370.886, 4508685.15559
41, 0, 3, -13622185.7834, 4508260.48223
42, 0, 3, -13620748.5897, 4509766.35416
43, 0, 2, -13620572.8942, 4508570.88549
44, 0, 3, -13620703.7775, 4509129.65767
45, 0, 3, -13620818.9368, 4509953.6278
46, 0, 3, -13622231.8328, 4508879.97942
47, 0, 3, -13622154.0713, 4508007.22616
48, 0, 3, -13620631.3249, 4509510.55553
49, 0, 3, -13621753.3956, 4508466.1127
50, 0, 3, -13622684.9041, 4508684.71943
51, 0, 3, -13622395.1542, 4508445.93954
52, 0, 3, -13620769.3676, 4509845.46086
53, 0, 3, -13622624.2116, 4508470.60413
54, 0, 3, -13621725.6139, 4508005.37455
55, 0, 3, -13622260.5986, 4509005.03502
56, 0, 3, -13620516.5403, 4509289.51663
57, 0, 3, -13620529.6017, 4509336.06085
58, 0, 3, -13622443.6861, 4508566.97201
59, 0, 3, -13621406.297, 4507514.14725
60, 0, 3, -13621741.1914, 4508014.84786
61, 0, 3, -13621033.4539, 4508896.75272
62, 0, 3, -13620538.6555, 4509359.66041
63, 0, 3, -13622323.1064, 4509893.42767
64, 0, 3, -13621605.2674, 4507511.93559
65, 0, 3, -13622524.9707, 4508495.70856
66, 0, 3, -13622006.114, 4508315.74371
67, 0, 3, -13621942.4015, 4508487.21701
68, 0, 3, -13622254.9362, 4508279.28049
69, 0, 2, -13620757.2049, 4508542.5321
70, 0, 3, -13621021.5424, 4508869.60394
71, 0, 3, -13622687.7153, 4508971.61318
72, 0, 3, -13620588.1539, 4509578.88936
73, 0, 3, -13621955.631, 4508656.12314
74, 0, 3, -13621766.9325, 4507647.34078
75, 0, 2, -13620593.1954, 4508568.70845
76, 0, 3, -13622325.0765, 4508893.57534
77, 0, 3, -13620468.3793, 4508633.81247
78, 0, 3, -13621777.5657, 4507963.29551
79, 0, 3, -13622665.296, 4508845.0578
80, 0, 3, -13622281.1089, 4509625.44433
81, 0, 3, -13620701.8707, 4509131.1651
82, 0, 3, -13620887.3077, 4509054.4004
83, 0, 3, -13621604.6753, 4507509.2674
84, 0, 3, -13621697.283, 4507764.7746
85, 0, 3, -13620713.408, 4509154.99091
86, 0, 3, -13622768.9333, 4508839.45399
87, 0, 3, -13622308.2273, 4508988.7892
88, 0, 3, -13621034.9101, 4509802.11842
89, 0, 3, -13621038.2486, 4509680.48175
90, 0, 3, -13621783.1403, 4507951.96448
91, 0, 3, -13620763.0068, 4509032.18503
92, 0, 3, -13622085.9466, 4508790.26722
93, 0, 3, -13622159.2115, 4508512.83888
94, 0, 3, -13621318.8048, 4508600.33737
95, 0, 1, -13620500.5081, 4507773.69147
96, 0, 1, -13620824.6118, 4507538.9776
97, 0, 3, -13622536.6128, 4509674.9591
98, 0, 3, -13622707.546, 4508705.27859
99, 0, 3, -13620862.5883, 4509760.01952
100, 0, 2, -13620942.3016, 4508470.71329
101, 0, 3, -13620897.1768, 4509751.09536
102, 0, 3, -13620827.7019, 4509921.6457
103, 0, 3, -13622256.2309, 4508278.42575
104, 0, 3, -13621203.8024, 4508612.12543
105, 0, 3, -13622312.2321, 4508887.11957
106, 0, 3, -13621960.306, 4508305.68762
107, 0, 3, -13622302.7887, 4508871.31463
108, 0, 3, -13622462.98, 4508722.82109
109, 0, 3, -13621038.7779, 4509729.51799
110, 0, 3, -13622359.1272, 4508371.54726
111, 0, 3, -13622473.4838, 4510006.09882
112, 0, 3, -13622571.2782, 4508589.17267
113, 0, 3, -13621701.499, 4507989.18146
114, 0, 3, -13621049.4087, 4509008.12144
115, 0, 3, -13622284.7715, 4509127.79283
116, 0, 2, -13620947.9506, 4508473.67702
117, 0, 3, -13622389.1708, 4509235.38612
118, 0, 3, -13622598.0209, 4509476.21653
119, 0, 3, -13622646.6398, 4508712.42765
120, 0, 3, -13622007.1309, 4508847.92479
121, 0, 3, -13622242.5178, 4509518.34142
122, 0, 3, -13622308.1165, 4509746.47848
123, 0, 3, -13621779.1204, 4507678.76923
124, 0, 3, -13621962.9172, 4507758.03292
125, 0, 3, -13622446.0774, 4508458.60862
126, 0, 3, -13622367.3398, 4508381.17466
127, 0, 3, -13622480.3593, 4508703.58047
128, 0, 3, -13620432.9876, 4509644.22089
129, 0, 3, -13622380.0546, 4509190.66775
130, 0, 3, -13620778.0816, 4509274.22895
