FID,CID,Type,POINT_X,POINT_Y
0, 0, 1, 1167899.78274, 5865001.10727
1, 0, 1, 1167658.83924, 5865526.86544
2, 0, 1, 1166728.81584, 5866128.02116
3, 0, 1, 1167859.63521, 5866357.48314
4, 0, 1, 1166128.98604, 5866285.27207
5, 0, 1, 1167711.1744, 5865313.6561
6, 0, 1, 1167434.82252, 5866441.54286
7, 0, 1, 1165992.54564, 5865101.51377
8, 0, 1, 1167348.31478, 5866155.6835
9, 0, 1, 1168119.43936, 5866279.30359
10, 0, 1, 1166906.07418, 5866033.53898
11, 0, 1, 1167305.273, 5866232.85532
12, 0, 1, 1167397.63937, 5866367.472
13, 0, 1, 1167480.31607, 5865376.47482
14, 0, 1, 1167567.62651, 5866048.63076
15, 0, 1, 1167402.31076, 5866128.2926
16, 0, 1, 1167116.74525, 5864739.85786
17, 0, 1, 1167885.02808, 5865062.13633
18, 0, 1, 1166769.6763, 5866173.79757
19, 0, 1, 1166720.9196, 5866234.72744
20, 0, 1, 1167844.11952, 5865207.70506
21, 0, 1, 1167211.18107, 5866184.68838
22, 0, 1, 1166590.88958, 5865998.85173
23, 0, 1, 1167842.17514, 5864735.12714
24, 0, 1, 1167723.90645, 5865296.54766
25, 0, 1, 1167236.91372, 5866074.64892
26, 0, 1, 1166312.47125, 5866200.84897
27, 0, 1, 1167630.7481, 5866011.39134
28, 0, 1, 1167905.63407, 5866401.89681
29, 0, 1, 1166215.06864, 5865267.5182
30, 0, 1, 1167974.78417, 5864820.38031
31, 0, 1, 1166870.42204, 5865724.66061
32, 0, 1, 1167693.80375, 5866085.01136
33, 0, 1, 1166798.27354, 5864782.78096
34, 0, 1, 1167945.21139, 5865988.91975
35, 0, 1, 1167499.00389, 5866481.39362
36, 0, 1, 1166369.26272, 5866261.14181
37, 0, 1, 1166855.92203, 5865211.89914
38, 0, 1, 1167030.82247, 5864644.68024
39, 0, 1, 1165941.92687, 5866217.76214
40, 0, 1, 1166841.33468, 5865809.02285
41, 0, 1, 1166856.86456, 5866043.63189
42, 0, 1, 1167112.35388, 5866065.78258
43, 0, 1, 1168298.44284, 5866389.60136
44, 0, 1, 1167923.99934, 5865980.95865
