FID,CID,Type,POINT_X,POINT_Y
0, 0, 1, 12306982.0885, 3384755.77198
1, 0, 1, 12307178.8113, 3383870.01463
2, 0, 1, 12307901.7931, 3383808.36874
3, 0, 1, 12308367.8728, 3384035.00113
4, 0, 1, 12307925.359, 3383072.27939
5, 0, 1, 12307290.8396, 3383875.61106
6, 0, 1, 12306182.2415, 3384349.48797
7, 0, 1, 12306527.5145, 3383698.66026
8, 0, 1, 12307125.7847, 3384423.65394
9, 0, 1, 12306290.9011, 3383927.91909
10, 0, 1, 12307162.969, 3385002.53369
11, 0, 1, 12306208.6443, 3382915.43709
12, 0, 1, 12306927.6255, 3383903.21287
13, 0, 1, 12306959.958, 3383710.75131
14, 0, 1, 12306335.4131, 3383671.28679
15, 0, 1, 12307353.4388, 3383781.03971
16, 0, 1, 12307864.0482, 3383242.30515
17, 0, 1, 12307360.6335, 3383897.93627
18, 0, 1, 12307031.733, 3383963.38466
19, 0, 1, 12307098.9237, 3383324.02161
20, 0, 1, 12307917.4329, 3383086.2961
21, 0, 1, 12306973.7856, 3383825.98296
22, 0, 1, 12307210.2539, 3384593.63043
23, 0, 1, 12307914.4494, 3383823.84425
24, 0, 1, 12306263.6269, 3382728.35114
25, 0, 1, 12306183.0314, 3382830.37575
26, 0, 1, 12308386.3609, 3382722.52436
27, 0, 1, 12308009.0132, 3382939.11769
28, 0, 1, 12307394.4304, 3383505.34933
29, 0, 1, 12306955.3852, 3383923.92107
30, 0, 1, 12306371.4094, 3382754.72379
31, 0, 1, 12308360.8208, 3384022.91619
32, 0, 1, 12306090.9512, 3382725.65513
33, 0, 1, 12306248.7298, 3382950.8702
34, 0, 1, 12306049.8015, 3384847.71728
35, 0, 1, 12306164.2935, 3383486.61655
36, 0, 1, 12308010.2258, 3382944.39315
37, 0, 1, 12306483.1347, 3383260.67745
38, 0, 1, 12306322.4868, 3382913.79928
39, 0, 1, 12306272.0696, 3382671.94444
40, 0, 1, 12306599.2315, 3383667.58351
41, 0, 1, 12307304.8575, 3383919.84294
42, 0, 1, 12307088.9815, 3384912.55901
43, 0, 1, 12307913.9235, 3383096.06843
44, 0, 1, 12306401.1405, 3382755.65036
45, 0, 1, 12307171.4358, 3383648.2238
46, 0, 1, 12306700.0075, 3383609.1597
47, 0, 1, 12306262.9869, 3382726.08556
48, 0, 1, 12307836.8324, 3383795.97296
49, 0, 1, 12306417.0987, 3382747.14085
50, 0, 1, 12306812.4728, 3382987.96096
51, 0, 1, 12306275.7865, 3383657.35813
52, 0, 1, 12306943.6009, 3383915.70088
53, 0, 1, 12307257.5685, 3383790.39157
54, 0, 1, 12307005.0783, 3383787.12911
55, 0, 1, 12307719.2449, 3383870.78147
56, 0, 1, 12306779.307, 3382940.48647
57, 0, 1, 12307011.4283, 3384830.68931
58, 0, 1, 12306345.0917, 3383713.99203
59, 0, 1, 12306594.723, 3383778.29259
60, 0, 1, 12307419.0951, 3383749.71633
61, 0, 1, 12307962.1731, 3382941.89869
62, 0, 1, 12306711.9379, 3382707.65491
63, 0, 1, 12306601.8945, 3383695.48813
64, 0, 1, 12307204.9022, 3384577.89391
65, 0, 1, 12306710.9832, 3382699.21937
66, 0, 1, 12306986.0146, 3383936.26086
67, 0, 1, 12308070.4426, 3383833.13322
68, 0, 1, 12306480.2097, 3383276.77304
69, 0, 1, 12306251.8444, 3382653.48239
70, 0, 1, 12305990.9921, 3385076.72913
71, 0, 1, 12307189.2072, 3383808.59495
72, 0, 1, 12308374.9596, 3384046.01674
73, 0, 1, 12307096.5063, 3383609.29637
74, 0, 1, 12307105.5753, 3384292.90026
75, 0, 1, 12306497.1404, 3383138.40531
76, 0, 1, 12306167.5231, 3382759.97619
77, 0, 1, 12306153.8642, 3383527.34189
78, 0, 1, 12306455.5761, 3383351.44829
79, 0, 1, 12308092.4058, 3383843.33097
80, 0, 1, 12306920.6779, 3383886.01621
81, 0, 1, 12306956.0584, 3383642.71812
82, 0, 1, 12307407.0471, 3383885.89856
83, 0, 1, 12308202.6303, 3382877.85665
