FID,CID,Type,POINT_X,POINT_Y
0, 0, 3, -13182302.4167, 4020253.28284
1, 0, 4, -13181590.7615, 4021474.9388
2, 0, 3, -13182274.483, 4021559.04242
3, 0, 2, -13182795.7252, 4021060.25387
4, 0, 3, -13182690.6813, 4021569.26434
5, 0, 4, -13182912.5952, 4021844.54611
6, 0, 2, -13182810.8672, 4020956.24304
7, 0, 4, -13183442.2872, 4021207.60957
8, 0, 2, -13182109.0517, 4020786.47688
9, 0, 4, -13181416.6503, 4020727.34385
10, 0, 3, -13182804.6746, 4020309.91429
11, 0, 4, -13181631.2768, 4020239.07691
12, 0, 3, -13182794.2646, 4020330.34786
13, 0, 3, -13182482.0065, 4020224.95098
14, 0, 2, -13182656.3196, 4020616.73878
15, 0, 1, -13182506.0565, 4020972.4667
16, 0, 4, -13182917.2332, 4019969.24162
17, 0, 3, -13182175.9108, 4021531.29195
18, 0, 2, -13182536.093, 4021215.44021
19, 0, 4, -13183394.2293, 4020433.91566
20, 0, 3, -13182910.7364, 4021410.0642
21, 0, 4, -13183427.4066, 4020529.77276
22, 0, 4, -13181477.092, 4020581.5435
23, 0, 2, -13182301.9906, 4020560.59673
24, 0, 3, -13183079.9164, 4021204.35471
25, 0, 2, -13182446.1983, 4021279.26892
26, 0, 3, -13182064.3928, 4021491.54053
27, 0, 2, -13182145.4342, 4020812.51409
28, 0, 3, -13182915.2385, 4020380.94913
29, 0, 4, -13182823.5991, 4021856.90803
30, 0, 1, -13182551.0006, 4020788.53836
31, 0, 1, -13182577.9504, 4020943.63605
32, 0, 4, -13181916.5471, 4020021.01341
33, 0, 3, -13182678.9124, 4020238.36428
34, 0, 3, -13181938.4369, 4021380.06161
35, 0, 4, -13183480.0406, 4020854.94184
36, 0, 2, -13182707.7724, 4020717.68902
37, 0, 4, -13182713.5895, 4019880.84673
38, 0, 4, -13181971.8815, 4019987.93505
39, 0, 3, -13181797.5869, 4020763.99908
40, 0, 1, -13182343.264, 4020907.58484
41, 0, 2, -13182126.6584, 4020789.28063
42, 0, 3, -13181778.6415, 4020756.88803
43, 0, 2, -13182290.2418, 4021178.91689
44, 0, 3, -13182141.9788, 4020305.12275
45, 0, 4, -13181406.3955, 4020819.26235
46, 0, 2, -13182485.6442, 4020549.1624
47, 0, 3, -13182666.5789, 4020226.71085
48, 0, 2, -13182131.356, 4020828.95396
49, 0, 4, -13181615.9987, 4021490.56857
50, 0, 2, -13182659.2896, 4020596.90499
51, 0, 3, -13182442.2378, 4020233.74595
52, 0, 3, -13181989.7217, 4020389.70602
53, 0, 1, -13182556.5892, 4020786.22587
54, 0, 4, -13181741.4097, 4020141.42498
55, 0, 3, -13183086.6967, 4020588.48268
56, 0, 3, -13181976.703, 4020411.27366
57, 0, 4, -13181562.2952, 4020360.68982
58, 0, 1, -13182393.1792, 4020857.65544
59, 0, 2, -13182821.261, 4020853.70609
60, 0, 2, -13182633.9073, 4020603.18456
61, 0, 3, -13182712.4408, 4020252.99603
62, 0, 4, -13182851.0111, 4019924.91239
63, 0, 4, -13183461.6181, 4020637.19621
64, 0, 3, -13182333.0475, 4020245.81876
65, 0, 2, -13182482.2313, 4020574.66141
66, 0, 4, -13182259.1263, 4019869.06362
67, 0, 2, -13182819.1976, 4020831.17533
68, 0, 4, -13183385.5145, 4020441.02082
69, 0, 3, -13181918.9683, 4021333.53849
70, 0, 4, -13181906.0988, 4021777.03112
71, 0, 4, -13182987.4272, 4020012.73833
72, 0, 3, -13182030.7317, 4021466.61412
73, 0, 4, -13181509.762, 4020446.49836
74, 0, 4, -13183136.7909, 4020128.06047
75, 0, 1, -13182540.9927, 4020998.09241
76, 0, 4, -13183385.221, 4020441.69049
77, 0, 3, -13182090.2442, 4020294.61761
78, 0, 4, -13183437.2576, 4021236.29694
79, 0, 3, -13182253.2231, 4021563.40941
80, 0, 2, -13182118.017, 4020929.76094
81, 0, 4, -13181757.7861, 4020114.32
82, 0, 4, -13183189.378, 4020142.25559
83, 0, 2, -13182703.2208, 4021100.87876
84, 0, 2, -13182192.8335, 4020679.46626
85, 0, 2, -13182515.364, 4020550.52128
86, 0, 2, -13182823.2119, 4020986.90359
87, 0, 2, -13182297.0856, 4020587.72288
88, 0, 3, -13182535.508, 4021571.23245
89, 0, 4, -13181668.5691, 4020214.58206
90, 0, 2, -13182749.26, 4021087.68311
91, 0, 3, -13182843.793, 4020358.49045
92, 0, 4, -13181629.4002, 4021534.84639
93, 0, 3, -13182965.3666, 4020407.64031
94, 0, 2, -13182485.6806, 4020570.06758
95, 0, 3, -13182128.9784, 4020291.62323
96, 0, 4, -13182062.0566, 4021855.32751
97, 0, 4, -13182552.3215, 4021916.9256
98, 0, 2, -13182751.8143, 4021116.48496
99, 0, 3, -13182491.6195, 4021568.31212
100, 0, 4, -13183465.5096, 4020624.7741
101, 0, 2, -13182205.8329, 4020704.9599
102, 0, 2, -13182829.5617, 4020930.70121
103, 0, 2, -13182777.3462, 4020980.37232
104, 0, 4, -13182455.066, 4021926.3511
105, 0, 4, -13183151.9393, 4020142.47849
106, 0, 4, -13182979.5834, 4020005.83181
107, 0, 3, -13182178.2298, 4020274.98153
108, 0, 3, -13183120.4147, 4020731.99377
109, 0, 1, -13182592.0446, 4020875.17751
110, 0, 4, -13183196.3648, 4021634.88319
111, 0, 3, -13182025.0803, 4020378.05456
112, 0, 4, -13181821.7605, 4021708.33416
113, 0, 4, -13183470.9209, 4021110.29753
114, 0, 4, -13183007.1089, 4021763.55206
115, 0, 4, -13182971.6224, 4021782.97331
116, 0, 2, -13182593.6423, 4020578.04887
117, 0, 1, -13182468.1644, 4021004.19305
118, 0, 4, -13181715.8555, 4020157.99182
119, 0, 2, -13182128.2309, 4020793.59401
120, 0, 4, -13181926.3281, 4021798.33989
121, 0, 4, -13181412.2712, 4020820.09447
122, 0, 3, -13182032.2746, 4021462.20399
123, 0, 4, -13183453.4399, 4020643.5497
124, 0, 4, -13181615.4934, 4021509.6118
125, 0, 3, -13181784.6994, 4021130.9311
126, 0, 4, -13182468.0553, 4021922.80014
127, 0, 2, -13182661.9453, 4021161.34627
128, 0, 3, -13182536.1067, 4020239.18106
129, 0, 3, -13182094.311, 4020296.63011
130, 0, 4, -13181976.3945, 4021825.82163
131, 0, 2, -13182735.1697, 4020674.99109
132, 0, 3, -13182188.244, 4021516.37595
133, 0, 2, -13182262.9481, 4021227.11691
134, 0, 1, -13182458.7601, 4021057.81371
135, 0, 2, -13182428.9775, 4021249.66312
136, 0, 1, -13182519.0088, 4020978.25026
137, 0, 2, -13182279.9845, 4020612.71173
138, 0, 4, -13182752.7589, 4019908.63733
139, 0, 4, -13182230.0243, 4021899.86131
140, 0, 4, -13183047.9013, 4020053.76843
141, 0, 4, -13181606.7523, 4020303.44774
142, 0, 4, -13183209.2398, 4020164.16455
143, 0, 4, -13182157.7012, 4019899.98718
144, 0, 1, -13182343.4945, 4020889.69385
145, 0, 4, -13182332.5949, 4021934.75995
146, 0, 3, -13182117.1835, 4020282.0745
147, 0, 4, -13183428.3325, 4021293.56516
148, 0, 3, -13182044.0866, 4021473.80526
149, 0, 4, -13183361.9982, 4021394.62645
