FID,CID,Type,POINT_X,POINT_Y
0, 0, 1, -13183005.1795, 4020972.37899
1, 0, 1, -13183209.6419, 4020123.11659
2, 0, 1, -13182528.8709, 4021544.73417
3, 0, 1, -13183458.9121, 4020916.88358
4, 0, 1, -13181666.3548, 4020959.63819
5, 0, 1, -13181553.9676, 4021283.07496
6, 0, 1, -13182338.4441, 4021062.09863
7, 0, 1, -13183150.5972, 4020221.9976
8, 0, 1, -13182122.901, 4020656.99133
9, 0, 1, -13182407.9179, 4020302.72172
10, 0, 1, -13181539.5162, 4020625.94873
11, 0, 1, -13182177.379, 4020391.24185
12, 0, 1, -13181683.182, 4020362.1549
13, 0, 1, -13182794.8354, 4021326.94372
14, 0, 1, -13182193.8779, 4020751.63698
15, 0, 1, -13181667.9655, 4020181.71954
16, 0, 1, -13181893.0267, 4021686.89781
17, 0, 1, -13182986.2963, 4020697.1527
18, 0, 1, -13182584.2013, 4021879.65049
19, 0, 1, -13183358.874, 4020725.96215
20, 0, 1, -13182252.3535, 4021880.85096
21, 0, 1, -13182046.5151, 4021389.93438
22, 0, 1, -13182457.0921, 4019969.76225
23, 0, 1, -13182401.6469, 4020263.23216
24, 0, 1, -13181820.0753, 4021528.23337
25, 0, 1, -13181516.3487, 4020801.15311
26, 0, 1, -13181513.4676, 4021205.97809
27, 0, 1, -13182396.1893, 4021357.60266
28, 0, 1, -13183221.1799, 4021475.45864
29, 0, 1, -13182937.0813, 4020645.56779
30, 0, 1, -13182190.5891, 4021459.97512
31, 0, 1, -13182796.3829, 4021289.67735
32, 0, 1, -13181857.1771, 4020168.25947
33, 0, 1, -13182739.5043, 4021828.32062
34, 0, 1, -13182557.6944, 4020352.56337
35, 0, 1, -13182443.731, 4020236.51892
36, 0, 1, -13181580.8789, 4021745.02976
37, 0, 1, -13183263.4011, 4020508.75792
38, 0, 1, -13182696.3854, 4021836.0612
39, 0, 1, -13182021.6933, 4020909.36207
40, 0, 1, -13181938.7776, 4020917.61279
41, 0, 1, -13182937.8836, 4021195.34774
42, 0, 1, -13182495.0248, 4021024.11392
43, 0, 1, -13183335.5925, 4020905.05115
44, 0, 1, -13182171.5619, 4020376.49011
45, 0, 1, -13182921.5122, 4021444.61792
46, 0, 1, -13181934.9007, 4020968.9409
47, 0, 1, -13181603.8008, 4020460.09071
48, 0, 1, -13182134.1498, 4021468.55726
49, 0, 1, -13182453.3525, 4020616.38627
50, 0, 1, -13182403.2657, 4021434.32941
51, 0, 1, -13182689.6488, 4021493.29957
52, 0, 1, -13181316.0709, 4020942.49923
53, 0, 1, -13182987.9659, 4021494.67052
54, 0, 1, -13181919.4114, 4020471.79576
55, 0, 1, -13183230.3521, 4021751.11713
56, 0, 1, -13182970.1507, 4020749.3862
57, 0, 1, -13182761.8365, 4021823.77555
58, 0, 1, -13182595.1428, 4020371.38925
59, 0, 1, -13183148.7266, 4020178.35077
60, 0, 1, -13181751.4204, 4020929.64712
61, 0, 1, -13181865.2434, 4020732.56024
62, 0, 1, -13182533.4892, 4020022.0815
63, 0, 1, -13181722.5046, 4020208.93421
64, 0, 1, -13181956.1554, 4020520.95634
65, 0, 1, -13183091.099, 4020255.5531
66, 0, 1, -13182691.4887, 4020706.92924
67, 0, 1, -13183003.6004, 4021564.34484
68, 0, 1, -13182408.4769, 4019957.57423
69, 0, 1, -13181922.3189, 4020455.05851
70, 0, 1, -13183155.8212, 4020203.6449
71, 0, 1, -13181824.9003, 4020245.20119
72, 0, 1, -13181883.3368, 4020425.54524
73, 0, 1, -13182362.5909, 4020724.11424
74, 0, 1, -13181854.2578, 4021727.36204
75, 0, 1, -13181828.3098, 4020735.13558
76, 0, 1, -13181970.7777, 4021307.38233
77, 0, 1, -13182430.7067, 4021055.093
78, 0, 1, -13182296.7743, 4021062.18286
79, 0, 1, -13182298.7676, 4021533.25502
80, 0, 1, -13181532.7774, 4020835.88307
81, 0, 1, -13182704.1221, 4020975.90435
82, 0, 1, -13182552.4148, 4020789.70013
83, 0, 1, -13183354.4278, 4021026.67832
84, 0, 1, -13182367.4308, 4020753.38926
85, 0, 1, -13181464.2162, 4020882.14917
86, 0, 1, -13182839.6604, 4020492.62588
87, 0, 1, -13181633.0341, 4020408.59088
88, 0, 1, -13182367.1156, 4021152.59376
89, 0, 1, -13182271.7348, 4021075.63397
90, 0, 1, -13182567.4006, 4020044.20506
91, 0, 1, -13182306.6144, 4020793.73494
92, 0, 1, -13182324.7158, 4021527.41786
93, 0, 1, -13183334.6332, 4021140.56514
94, 0, 1, -13182438.2869, 4021969.66591
95, 0, 1, -13182631.5124, 4020878.12027
96, 0, 1, -13182995.5804, 4020992.96176
97, 0, 1, -13182096.5193, 4020943.3721
98, 0, 1, -13181725.6419, 4021575.57683
99, 0, 1, -13181880.831, 4021493.03412
100, 0, 1, -13182993.9807, 4020698.22983
101, 0, 1, -13181830.8156, 4021565.053
102, 0, 1, -13181819.6535, 4021513.37827
103, 0, 1, -13182347.9698, 4021014.54683
104, 0, 1, -13182437.3132, 4021885.35606
105, 0, 1, -13182135.254, 4020914.7171
106, 0, 1, -13182273.7293, 4020923.81644
107, 0, 1, -13182737.2838, 4021838.26179
108, 0, 1, -13181744.437, 4020343.50512
109, 0, 1, -13182676.5475, 4020442.76476
110, 0, 1, -13181703.9613, 4021709.68524
111, 0, 1, -13182890.0459, 4020118.82827
112, 0, 1, -13181781.7778, 4020930.60065
113, 0, 1, -13182645.9233, 4021122.70346
114, 0, 1, -13181934.212, 4020486.25374
115, 0, 1, -13183270.4546, 4020498.18659
116, 0, 1, -13183002.7283, 4020261.36378
117, 0, 1, -13182393.2691, 4019949.94942
118, 0, 1, -13181843.5298, 4020694.39956
119, 0, 1, -13182723.5696, 4021215.12589
120, 0, 1, -13182947.739, 4021245.55708
121, 0, 1, -13182902.2308, 4021313.92449
122, 0, 1, -13181712.8578, 4021570.00223
123, 0, 1, -13182693.9205, 4020639.2202
124, 0, 1, -13182191.5452, 4021497.97741
125, 0, 1, -13181920.3713, 4020122.60641
126, 0, 1, -13182506.5324, 4021867.56203
127, 0, 1, -13181878.184, 4020157.02356
128, 0, 1, -13183523.9485, 4020963.16948
129, 0, 1, -13183034.0422, 4020250.1884
130, 0, 1, -13183218.2791, 4021760.45094
131, 0, 1, -13182482.5883, 4020031.74715
132, 0, 1, -13182271.4579, 4020767.37216
133, 0, 1, -13183005.374, 4020941.89548
134, 0, 1, -13182994.3836, 4020933.23001
135, 0, 1, -13182367.4392, 4021891.17392
136, 0, 1, -13182254.7584, 4020963.9662
137, 0, 1, -13182975.6268, 4021459.16974
138, 0, 1, -13183369.7918, 4020921.37286
139, 0, 1, -13181841.9911, 4020761.55003
140, 0, 1, -13182318.4927, 4020015.73516
141, 0, 1, -13182739.3675, 4021264.71126
142, 0, 1, -13182228.7668, 4020756.14454
143, 0, 1, -13182490.4581, 4019983.48547
144, 0, 1, -13181936.7919, 4021421.84414
145, 0, 1, -13182946.8392, 4021727.39384
146, 0, 1, -13182411.2584, 4021609.30466
147, 0, 1, -13182205.1762, 4021853.74142
148, 0, 1, -13181800.7044, 4020242.66201
149, 0, 1, -13183011.502, 4020191.38563
150, 0, 1, -13181818.5296, 4020919.72159
151, 0, 1, -13181895.1143, 4020967.11346
152, 0, 1, -13182485.9463, 4021543.19539
153, 0, 1, -13182767.3364, 4021841.23478
154, 0, 1, -13183213.8818, 4020916.94055
155, 0, 1, -13182415.3996, 4021056.0065
156, 0, 1, -13182038.02, 4020095.46798
157, 0, 1, -13183185.8873, 4021705.45616
158, 0, 1, -13183139.8316, 4021654.68629
159, 0, 1, -13181482.5846, 4020811.77185
160, 0, 1, -13181732.1296, 4020204.74172
161, 0, 1, -13182754.7293, 4020074.61323
162, 0, 1, -13181668.1696, 4021725.09931
163, 0, 1, -13182408.0393, 4021535.53729
164, 0, 1, -13183238.1729, 4021403.93946
165, 0, 1, -13182966.2561, 4021510.97716
166, 0, 1, -13182593.2713, 4021083.97438
167, 0, 1, -13182418.5074, 4021985.47507
168, 0, 1, -13183113.6943, 4021656.61531
169, 0, 1, -13182932.9488, 4020976.89242
170, 0, 1, -13183052.9278, 4020943.58152
171, 0, 1, -13181852.9242, 4021051.28879
172, 0, 1, -13182914.5317, 4020415.74367
173, 0, 1, -13182074.8645, 4021440.06196
174, 0, 1, -13182308.0983, 4020828.44208
175, 0, 1, -13183325.6628, 4021078.06479
176, 0, 1, -13183148.6817, 4021573.88874
177, 0, 1, -13182499.1612, 4021156.89937
178, 0, 1, -13182248.466, 4020750.99152
179, 0, 1, -13182410.6796, 4021591.68013
180, 0, 1, -13181610.9013, 4020141.37671
181, 0, 1, -13182760.6944, 4020643.28036
182, 0, 1, -13182571.5785, 4021493.35353
183, 0, 1, -13181472.8065, 4020912.32802
184, 0, 1, -13182794.0044, 4020085.51988
185, 0, 1, -13181916.5148, 4020462.72009
186, 0, 1, -13181389.5818, 4020949.98001
187, 0, 1, -13182602.4548, 4021502.90496
188, 0, 1, -13183355.2686, 4020713.55244
189, 0, 1, -13182572.1807, 4020964.36542
190, 0, 1, -13181353.0022, 4020914.55473
191, 0, 1, -13182212.1865, 4021030.03355
192, 0, 1, -13183502.2497, 4020915.92669
193, 0, 1, -13182266.3279, 4020862.25335
194, 0, 1, -13181735.5666, 4021526.20679
195, 0, 1, -13182446.3002, 4021741.30589
196, 0, 1, -13181365.452, 4020976.56396
197, 0, 1, -13182693.1543, 4020712.35097
198, 0, 1, -13182117.82, 4021847.31336
199, 0, 1, -13182394.4874, 4021062.26669
200, 0, 1, -13182237.8761, 4020052.46537
201, 0, 1, -13183188.8099, 4020935.81788
202, 0, 1, -13181542.8797, 4020589.5375
203, 0, 1, -13182574.8686, 4020822.05573
204, 0, 1, -13182451.2705, 4021855.8278
205, 0, 1, -13183281.4452, 4020932.75712
206, 0, 1, -13181926.8707, 4020172.15202
207, 0, 1, -13181658.1684, 4020383.64189
208, 0, 1, -13182991.283, 4020788.37064
209, 0, 1, -13181653.7029, 4020148.39931
210, 0, 1, -13182844.913, 4020965.01099
211, 0, 1, -13182566.0716, 4020914.4248
212, 0, 1, -13182245.1044, 4021105.35583
213, 0, 1, -13181970.2441, 4021726.49324
214, 0, 1, -13182968.7083, 4020439.98071
215, 0, 1, -13182267.5887, 4020862.52436
216, 0, 1, -13181697.3889, 4020230.64043
217, 0, 1, -13182352.3883, 4020359.13366
218, 0, 1, -13182449.0697, 4020203.95976
219, 0, 1, -13182410.7466, 4020340.29927
220, 0, 1, -13182453.4651, 4020119.25638
221, 0, 1, -13182305.1338, 4021077.68893
222, 0, 1, -13182064.3482, 4020542.25309
223, 0, 1, -13183043.685, 4020923.54088
224, 0, 1, -13182655.3257, 4021866.24232
225, 0, 1, -13182097.2246, 4021426.88691
226, 0, 1, -13182051.4559, 4021325.1866
227, 0, 1, -13181824.4375, 4021538.17254
228, 0, 1, -13183201.6394, 4020466.06745
229, 0, 1, -13183240.4282, 4020467.01332
230, 0, 1, -13182422.9416, 4020603.92444
231, 0, 1, -13182490.3921, 4020362.91047
232, 0, 1, -13181917.9193, 4020672.08364
233, 0, 1, -13182202.8381, 4021138.55555
234, 0, 1, -13181532.8505, 4020691.37484
235, 0, 1, -13183040.3194, 4020853.5365
236, 0, 1, -13181701.2712, 4020933.45772
237, 0, 1, -13182596.5456, 4020899.86141
238, 0, 1, -13182520.9072, 4021084.39564
239, 0, 1, -13182637.6554, 4021847.59028
240, 0, 1, -13182632.4463, 4020403.76397
241, 0, 1, -13182452.5002, 4021374.94559
242, 0, 1, -13182653.7656, 4021474.93763
243, 0, 1, -13181899.5295, 4021234.11372
244, 0, 1, -13182409.706, 4020002.76576
245, 0, 1, -13182276.9127, 4020758.46206
246, 0, 1, -13183371.0125, 4020989.84333
247, 0, 1, -13182055.9111, 4021787.11059
248, 0, 1, -13182864.0481, 4021314.95561
249, 0, 1, -13181914.1913, 4021420.86732
250, 0, 1, -13182778.9294, 4021449.56669
251, 0, 1, -13182412.5705, 4021546.9448
252, 0, 1, -13182535.3276, 4021069.32206
253, 0, 1, -13181657.3953, 4020132.75072
254, 0, 1, -13181950.5653, 4021390.08107
255, 0, 1, -13183331.9962, 4020732.93765
256, 0, 1, -13181851.8865, 4020996.47437
257, 0, 1, -13182406.4073, 4021316.22475
258, 0, 1, -13182934.3693, 4020159.09461
259, 0, 1, -13181575.7977, 4020653.01626
260, 0, 1, -13183223.2909, 4021701.64546
261, 0, 1, -13183323.5041, 4020636.34984
262, 0, 1, -13182489.8968, 4019983.16143
263, 0, 1, -13182236.5264, 4021057.75529
264, 0, 1, -13181565.9008, 4020941.55278
265, 0, 1, -13182917.5011, 4020155.93273
266, 0, 1, -13182076.9487, 4020590.08477
267, 0, 1, -13182579.801, 4020751.88236
268, 0, 1, -13181813.0148, 4021017.36913
269, 0, 1, -13182189.5668, 4020992.07171
270, 0, 1, -13182945.8564, 4020943.52073
271, 0, 1, -13182013.3238, 4021329.35031
272, 0, 1, -13182900.2503, 4020569.10305
273, 0, 1, -13183105.9626, 4021615.57637
274, 0, 1, -13183349.919, 4020739.94855
275, 0, 1, -13183038.7769, 4020927.20926
276, 0, 1, -13182786.0066, 4020579.7167
277, 0, 1, -13182435.6515, 4021926.61876
278, 0, 1, -13183340.8753, 4021145.06172
279, 0, 1, -13181845.265, 4021035.15458
280, 0, 1, -13182959.0923, 4020743.74408
281, 0, 1, -13181826.8786, 4020994.91047
282, 0, 1, -13182091.7048, 4020581.82617
283, 0, 1, -13182438.693, 4020232.81605
284, 0, 1, -13182604.0705, 4020037.84718
285, 0, 1, -13182107.982, 4021442.18864
286, 0, 1, -13183008.9249, 4021171.72745
287, 0, 1, -13182302.6992, 4020923.27628
288, 0, 1, -13182441.121, 4021310.0202
289, 0, 1, -13182801.515, 4021398.20684
290, 0, 1, -13182674.7942, 4020648.90589
291, 0, 1, -13181938.9019, 4020975.59705
292, 0, 1, -13181898.089, 4021481.38553
293, 0, 1, -13182041.4776, 4020594.258
294, 0, 1, -13183003.3876, 4020974.12041
295, 0, 1, -13182984.761, 4020354.48264
296, 0, 1, -13182771.7995, 4020105.93751
297, 0, 1, -13181477.6912, 4021096.96638
298, 0, 1, -13182811.439, 4020498.50657
299, 0, 1, -13182591.3697, 4020012.92062
300, 0, 1, -13182410.3408, 4021939.94271
301, 0, 1, -13183250.6167, 4021379.60377
302, 0, 1, -13182152.0041, 4021440.38727
303, 0, 1, -13183019.6829, 4021499.27429
304, 0, 1, -13183015.9768, 4021549.66906
305, 0, 1, -13182321.6072, 4020816.23843
306, 0, 1, -13182148.369, 4020941.1399
307, 0, 1, -13182454.475, 4020856.25941
308, 0, 1, -13182934.3742, 4021247.42515
309, 0, 1, -13182667.8814, 4020650.63227
310, 0, 1, -13182409.5905, 4020073.2244
311, 0, 1, -13182850.9348, 4021786.23761
312, 0, 1, -13182813.4549, 4020916.14891
313, 0, 1, -13182235.6085, 4021845.30183
314, 0, 1, -13181979.3804, 4021372.21376
315, 0, 1, -13182512.6498, 4020911.37163
316, 0, 1, -13182982.9498, 4020704.63586
317, 0, 1, -13182573.7167, 4021841.21857
318, 0, 1, -13181942.1443, 4020493.23418
319, 0, 1, -13182441.5008, 4020490.14386
320, 0, 1, -13182484.4997, 4021141.29988
321, 0, 1, -13183209.459, 4021747.95796
322, 0, 1, -13181557.8227, 4020930.13302
323, 0, 1, -13182444.9085, 4020614.4925
324, 0, 1, -13181803.8749, 4021681.64029
325, 0, 1, -13182712.2895, 4020679.32802
326, 0, 1, -13182695.0224, 4020432.2789
327, 0, 1, -13182336.0697, 4021145.43098
328, 0, 1, -13182787.2891, 4021335.50227
329, 0, 1, -13182643.0226, 4020748.33005
330, 0, 1, -13182090.8514, 4020065.73921
331, 0, 1, -13182449.2626, 4021162.50923
332, 0, 1, -13181828.7947, 4021675.3101
333, 0, 1, -13182597.862, 4020059.70775
334, 0, 1, -13183340.9734, 4020740.14244
335, 0, 1, -13182004.5691, 4020518.79523
