FID,CID,Type,POINT_X,POINT_Y
0, 0, 5, -13183576.8414, 4020681.6708
1, 0, 2, -13182709.3566, 4020545.20661
2, 0, 5, -13182280.1749, 4021987.08451
3, 0, 4, -13181538.7087, 4020988.34078
4, 0, 4, -13182525.5698, 4019999.28713
5, 0, 1, -13182466.4273, 4020826.16743
6, 0, 5, -13182281.2358, 4019776.70363
7, 0, 4, -13183373.5748, 4020946.5679
8, 0, 4, -13181572.0072, 4021099.7423
9, 0, 5, -13183548.351, 4020086.36586
10, 0, 5, -13182938.8777, 4019778.6534
11, 0, 2, -13182044.2447, 4020925.86811
12, 0, 3, -13182887.9093, 4021378.1895
13, 0, 5, -13183102.4755, 4022011.44227
14, 0, 4, -13182452.208, 4019957.20091
15, 0, 5, -13181307.4397, 4021202.80568
16, 0, 3, -13182490.1947, 4021522.67206
17, 0, 5, -13182744.345, 4019775.02492
18, 0, 3, -13181851.306, 4021220.57601
19, 0, 3, -13181864.8358, 4021232.62691
20, 0, 3, -13182030.0056, 4021391.72656
21, 0, 1, -13182355.1574, 4020892.92568
22, 0, 2, -13182883.297, 4020974.71021
23, 0, 5, -13183582.1584, 4021182.86343
24, 0, 4, -13181899.9908, 4020165.97747
25, 0, 3, -13181900.8785, 4021247.23763
26, 0, 5, -13182057.111, 4019751.7543
27, 0, 2, -13182029.9586, 4020944.61417
28, 0, 4, -13181606.9621, 4021262.23275
29, 0, 5, -13181337.4003, 4021164.59361
30, 0, 5, -13181323.1663, 4021907.5038
31, 0, 5, -13182266.6134, 4022029.7528
32, 0, 4, -13182447.732, 4021790.06502
33, 0, 2, -13182504.704, 4021304.3189
34, 0, 5, -13183554.7088, 4020827.34482
35, 0, 2, -13182043.9795, 4020736.66502
36, 0, 5, -13183587.295, 4020647.8966
37, 0, 2, -13182185.5287, 4020555.8558
38, 0, 4, -13183118.6633, 4020279.94011
39, 0, 1, -13182369.0209, 4020862.09486
40, 0, 2, -13182528.4142, 4020499.95947
41, 0, 2, -13182804.1836, 4020653.93818
42, 0, 2, -13182813.2598, 4021052.89691
43, 0, 4, -13181524.6515, 4020918.38755
44, 0, 4, -13181741.8843, 4021449.05684
45, 0, 5, -13181302.0622, 4020876.64534
46, 0, 5, -13181386.8579, 4022005.04839
47, 0, 5, -13181398.6145, 4022020.21995
48, 0, 4, -13181917.228, 4021656.17842
49, 0, 4, -13181538.5953, 4020832.78753
50, 0, 4, -13183113.9448, 4021489.50112
51, 0, 4, -13183313.1062, 4020641.1712
52, 0, 3, -13181843.9484, 4021091.56351
53, 0, 3, -13183056.2176, 4020603.15949
54, 0, 5, -13183266.1258, 4021983.25351
55, 0, 4, -13183232.7788, 4020372.69353
56, 0, 5, -13181985.4069, 4019777.3674
57, 0, 5, -13182621.7509, 4019757.05428
58, 0, 5, -13183569.8097, 4021124.99934
59, 0, 2, -13182025.0248, 4021045.21139
60, 0, 5, -13183301.6258, 4022011.61167
61, 0, 2, -13182078.63, 4020727.26533
62, 0, 4, -13183310.5232, 4020504.45188
63, 0, 5, -13182121.2289, 4019773.25991
64, 0, 5, -13181322.1578, 4021479.49937
65, 0, 5, -13183556.6872, 4020964.55606
66, 0, 3, -13183007.3155, 4020572.55797
67, 0, 5, -13183552.9831, 4020961.08252
68, 0, 5, -13183533.9789, 4021315.72402
69, 0, 4, -13181751.247, 4021519.23341
70, 0, 5, -13181351.3349, 4021934.8028
71, 0, 5, -13183536.2966, 4020008.64895
72, 0, 5, -13183193.454, 4019789.14255
73, 0, 4, -13182303.3883, 4021779.07624
74, 0, 3, -13182868.4873, 4020390.90886
75, 0, 5, -13181311.1868, 4020158.89117
76, 0, 5, -13181349.1976, 4021471.1168
77, 0, 4, -13183378.0637, 4020962.54536
78, 0, 5, -13183542.0546, 4021367.75271
79, 0, 3, -13182984.9765, 4020517.40472
80, 0, 2, -13182753.9928, 4020641.92611
81, 0, 3, -13183074.1043, 4020685.79263
82, 0, 4, -13181552.0261, 4020935.99909
83, 0, 3, -13182156.7323, 4020272.13688
84, 0, 5, -13183252.7682, 4022036.79791
85, 0, 5, -13181349.869, 4021559.92205
86, 0, 4, -13182264.8783, 4021763.32927
87, 0, 5, -13183575.1827, 4021174.39341
88, 0, 4, -13183351.7996, 4020853.43047
89, 0, 5, -13183534.1431, 4021835.39116
90, 0, 4, -13181610.2463, 4020569.56798
91, 0, 4, -13182449.403, 4019959.50297
92, 0, 4, -13181778.2651, 4021479.29497
93, 0, 3, -13182252.6619, 4020272.5216
94, 0, 5, -13181486.3702, 4022014.39062
95, 0, 5, -13183237.4635, 4019755.73156
96, 0, 5, -13181320.2109, 4020140.65397
97, 0, 4, -13182558.4259, 4019949.68156
98, 0, 4, -13181620.2996, 4021332.23822
99, 0, 4, -13181821.9989, 4020182.01756
100, 0, 5, -13183592.1641, 4020275.3889
101, 0, 4, -13182601.2244, 4020010.54403
102, 0, 3, -13182800.9607, 4021477.56538
103, 0, 4, -13183306.9086, 4021136.75716
104, 0, 3, -13182475.8815, 4021556.86155
105, 0, 5, -13181344.557, 4021443.06897
106, 0, 5, -13181333.4811, 4019973.26327
107, 0, 3, -13181999.4733, 4020420.59917
108, 0, 3, -13181762.5591, 4020899.7485
109, 0, 5, -13183546.3619, 4020770.94235
110, 0, 3, -13182547.3658, 4020211.71405
111, 0, 4, -13182701.3297, 4020010.67658
112, 0, 2, -13182303.2056, 4020480.90422
113, 0, 5, -13183556.2989, 4020071.29487
114, 0, 4, -13183284.2989, 4020450.19464
115, 0, 5, -13181293.1375, 4020399.64221
116, 0, 5, -13181311.4927, 4019937.78498
117, 0, 5, -13181320.8854, 4020165.40895
118, 0, 4, -13183274.0894, 4021216.7901
119, 0, 5, -13183582.055, 4021487.74372
120, 0, 5, -13182487.3554, 4019760.3004
121, 0, 5, -13182965.3629, 4021993.45868
122, 0, 5, -13183565.5278, 4022026.73754
123, 0, 3, -13182681.9985, 4021495.84359
124, 0, 4, -13182941.7284, 4021648.36712
125, 0, 4, -13183378.0705, 4020950.42093
126, 0, 5, -13182962.5352, 4022016.74324
127, 0, 4, -13182322.4831, 4021797.47249
128, 0, 4, -13182238.1902, 4021782.54251
129, 0, 3, -13182367.8343, 4021536.37428
130, 0, 3, -13182394.9463, 4021523.06329
131, 0, 5, -13183364.8136, 4022038.60271
132, 0, 4, -13182864.8423, 4021720.05642
133, 0, 3, -13182284.4243, 4021540.38943
134, 0, 3, -13181939.246, 4021309.40796
135, 0, 5, -13181296.2673, 4021913.30141
136, 0, 4, -13181509.7461, 4020999.14361
137, 0, 5, -13183253.0491, 4021995.34346
138, 0, 3, -13182241.7209, 4021487.7289
139, 0, 4, -13182829.9454, 4020070.14752
140, 0, 3, -13183069.1631, 4021059.41096
141, 0, 3, -13183120.6392, 4020958.73232
142, 0, 2, -13182343.9926, 4020489.64861
143, 0, 2, -13182033.964, 4020884.1571
144, 0, 5, -13181295.1623, 4021372.96687
145, 0, 4, -13183200.4097, 4021416.13486
146, 0, 5, -13181333.3844, 4020901.60943
147, 0, 3, -13183112.137, 4020759.52825
148, 0, 2, -13182476.8747, 4020491.26835
149, 0, 4, -13182165.9928, 4020030.97291
150, 0, 5, -13181314.8105, 4021059.04857
151, 0, 3, -13182090.1714, 4020306.98881
152, 0, 4, -13183299.9738, 4020540.16953
153, 0, 4, -13182929.8371, 4021634.50332
154, 0, 5, -13183552.5095, 4021675.643
155, 0, 5, -13183555.6445, 4020214.89684
156, 0, 5, -13181326.9405, 4021718.16102
157, 0, 5, -13182238.8482, 4022011.71176
158, 0, 5, -13183132.4297, 4022019.83543
159, 0, 5, -13182757.3837, 4019748.53499
160, 0, 3, -13183078.8212, 4020909.72001
161, 0, 5, -13182118.0392, 4019764.62756
162, 0, 5, -13183574.978, 4021545.67496
163, 0, 5, -13182853.7807, 4019759.05049
164, 0, 5, -13181311.7156, 4020596.56519
165, 0, 2, -13182670.1668, 4021249.28502
166, 0, 5, -13181306.1506, 4020044.44118
167, 0, 5, -13181313.086, 4020824.86301
168, 0, 5, -13182704.7363, 4019781.39071
169, 0, 4, -13183196.9602, 4021388.65518
170, 0, 4, -13183325.2923, 4021049.32546
171, 0, 5, -13181332.1857, 4020464.49296
172, 0, 3, -13182826.2954, 4021393.35195
173, 0, 5, -13182074.4077, 4022003.71353
174, 0, 4, -13181656.0009, 4020401.12369
175, 0, 5, -13182788.8964, 4021986.79502
176, 0, 4, -13181903.0894, 4020141.93506
177, 0, 5, -13183287.8249, 4019754.26146
178, 0, 4, -13181499.3784, 4020901.49594
179, 0, 3, -13181889.112, 4021266.77448
180, 0, 4, -13181563.8894, 4021101.16789
181, 0, 5, -13181323.6814, 4020447.43118
182, 0, 5, -13182562.2242, 4021982.09173
183, 0, 5, -13182074.7262, 4019747.30908
184, 0, 2, -13182449.3814, 4021330.26362
185, 0, 5, -13183159.5878, 4022015.79457
186, 0, 5, -13181456.6685, 4019738.83898
