FID,CID,Type,POINT_X,POINT_Y
0, 0, 3, -13181747.0214, 4020832.35996
1, 0, 4, -13181531.1822, 4021426.77598
2, 0, 4, -13181395.4441, 4021429.78248
3, 0, 3, -13182825.9446, 4020575.68159
4, 0, 2, -13182814.2927, 4020183.47393
5, 0, 1, -13181587.7965, 4019832.25163
6, 0, 1, -13181983.0094, 4020022.24305
7, 0, 2, -13183154.879, 4020980.87054
8, 0, 2, -13182118.3314, 4021025.70401
9, 0, 4, -13181354.5901, 4021397.97155
10, 0, 4, -13181423.9239, 4020995.22431
11, 0, 3, -13182554.2472, 4020946.78345
12, 0, 3, -13181776.9288, 4021447.19368
13, 0, 3, -13182709.2203, 4020453.24553
14, 0, 3, -13182742.6659, 4020526.73983
15, 0, 1, -13181882.8683, 4019712.16183
16, 0, 2, -13183053.4377, 4020416.08782
17, 0, 3, -13182886.4228, 4020859.02923
18, 0, 1, -13181568.8658, 4019899.53677
19, 0, 3, -13183349.1795, 4021420.05924
20, 0, 2, -13182355.7402, 4020766.10649
21, 0, 2, -13182303.5694, 4021376.9569
22, 0, 4, -13181392.8129, 4021547.6499
23, 0, 3, -13182164.3413, 4021733.27181
24, 0, 3, -13183114.336, 4021704.69834
25, 0, 3, -13182785.5084, 4020544.68834
26, 0, 1, -13181584.9891, 4019898.43571
27, 0, 1, -13182060.4432, 4020197.49483
28, 0, 2, -13183077.5161, 4020480.08245
29, 0, 3, -13183339.613, 4021483.74393
30, 0, 3, -13182370.266, 4020351.08785
31, 0, 1, -13181448.3262, 4020379.32719
32, 0, 3, -13181959.0689, 4020470.91856
33, 0, 4, -13181526.5384, 4021279.15991
34, 0, 3, -13182395.3001, 4021794.35377
35, 0, 2, -13182090.1998, 4021059.29117
36, 0, 2, -13183185.7423, 4020781.2685
37, 0, 3, -13181725.3197, 4021134.09337
38, 0, 1, -13181366.5878, 4020277.61443
39, 0, 4, -13181398.9589, 4021197.96363
40, 0, 3, -13181818.0312, 4020620.79001
41, 0, 1, -13181893.5654, 4019721.01487
42, 0, 1, -13181651.2769, 4019794.03125
43, 0, 1, -13182426.4263, 4019724.8187
44, 0, 2, -13182313.5306, 4021379.96988
45, 0, 4, -13181399.6427, 4021410.43362
46, 0, 2, -13183141.1375, 4020616.58899
47, 0, 4, -13181740.7363, 4021861.46302
48, 0, 2, -13183171.1231, 4020912.1556
49, 0, 4, -13181309.536, 4021065.19118
50, 0, 4, -13181433.3897, 4021251.95091
51, 0, 1, -13182256.0407, 4019961.91885
52, 0, 3, -13182887.6097, 4021797.57231
53, 0, 3, -13181716.8602, 4021249.36827
54, 0, 1, -13181508.6882, 4019947.46038
55, 0, 4, -13181352.298, 4021015.0647
56, 0, 2, -13183077.5397, 4020423.45216
57, 0, 3, -13182568.8914, 4020392.71949
58, 0, 1, -13182844.1512, 4019782.24694
59, 0, 1, -13181994.3884, 4020112.40553
60, 0, 1, -13183149.3564, 4019819.19394
61, 0, 2, -13182473.3024, 4021472.72788
62, 0, 1, -13182037.4384, 4020143.51846
63, 0, 2, -13182806.8086, 4020198.54282
64, 0, 1, -13181581.1979, 4019871.09884
65, 0, 3, -13182718.312, 4020473.84973
66, 0, 1, -13182189.9026, 4020153.46773
67, 0, 3, -13181847.4917, 4020588.43292
68, 0, 2, -13182355.014, 4020725.21507
69, 0, 2, -13182176.0437, 4020836.83468
70, 0, 1, -13181984.1107, 4020050.9121
71, 0, 3, -13182160.0017, 4021787.04222
72, 0, 4, -13181719.0327, 4021827.47498
73, 0, 3, -13182056.1893, 4021681.03544
74, 0, 4, -13181322.0321, 4020843.31733
75, 0, 2, -13182484.3129, 4021459.94476
76, 0, 2, -13183072.6647, 4021232.00592
77, 0, 3, -13181804.1229, 4020757.81865
78, 0, 3, -13182677.2269, 4020484.16053
79, 0, 4, -13181779.4553, 4021896.61958
80, 0, 3, -13181795.8394, 4020766.76792
81, 0, 1, -13183374.3399, 4019966.66433
82, 0, 2, -13182640.6061, 4021518.4405
83, 0, 4, -13181444.7512, 4021417.49437
84, 0, 2, -13182985.4839, 4020364.27602
85, 0, 2, -13182156.7613, 4020990.20378
86, 0, 2, -13183092.3426, 4020512.60923
87, 0, 2, -13183166.1997, 4020943.08607
88, 0, 1, -13182055.7888, 4019893.41548
89, 0, 4, -13181611.8952, 4021697.34035
90, 0, 3, -13181932.0555, 4020529.85868
91, 0, 4, -13181297.4547, 4020808.74066
92, 0, 3, -13181920.9228, 4020569.5459
93, 0, 4, -13181659.5025, 4021972.9807
