FID,CID,Type,POINT_X,POINT_Y
0, 0, 1, -13182501.0363, 4019811.84877
1, 0, 2, -13182220.4234, 4020245.4819
2, 0, 5, -13183013.8617, 4021855.5447
3, 0, 2, -13182906.0223, 4020264.30608
4, 0, 4, -13183308.8874, 4021222.90969
5, 0, 5, -13182362.8565, 4021596.59404
6, 0, 3, -13182471.7307, 4020632.75659
7, 0, 5, -13182974.7376, 4021879.73917
8, 0, 3, -13182767.2467, 4020687.18446
9, 0, 5, -13183017.1084, 4021810.42113
10, 0, 2, -13182740.3552, 4020183.35578
11, 0, 5, -13182321.9109, 4021817.32515
12, 0, 4, -13181820.833, 4021134.85045
13, 0, 4, -13181669.3201, 4021222.98301
14, 0, 5, -13182393.6748, 4021843.54009
15, 0, 5, -13182974.0171, 4021774.14911
16, 0, 3, -13182579.0523, 4020571.60011
17, 0, 5, -13181784.0518, 4021930.39884
18, 0, 4, -13181826.7903, 4021189.51082
19, 0, 3, -13183314.5409, 4020611.85944
20, 0, 5, -13182000.7437, 4021703.75576
21, 0, 4, -13181856.3533, 4021119.54594
22, 0, 5, -13183003.9156, 4021671.79992
23, 0, 4, -13182548.8726, 4021087.05248
24, 0, 5, -13182657.4546, 4021796.42285
25, 0, 5, -13183143.4675, 4021929.54462
26, 0, 3, -13182205.6303, 4020650.31766
27, 0, 5, -13182021.3486, 4021938.22536
28, 0, 2, -13182559.5671, 4020216.6969
29, 0, 3, -13183143.0096, 4020653.62571
30, 0, 5, -13182831.7443, 4021657.93733
31, 0, 3, -13182269.5417, 4020576.75537
32, 0, 5, -13181778.0526, 4021662.34905
33, 0, 4, -13181995.3341, 4021297.24293
34, 0, 4, -13181624.7075, 4021184.55791
35, 0, 5, -13182619.3545, 4021602.62972
36, 0, 4, -13182930.6519, 4021191.34385
37, 0, 5, -13183311.3756, 4021717.68988
38, 0, 5, -13181629.5944, 4021869.58673
39, 0, 4, -13182270.9624, 4021080.20643
40, 0, 5, -13182427.9397, 4021651.53436
41, 0, 5, -13181581.9907, 4021781.53323
42, 0, 3, -13181851.927, 4020575.86801
43, 0, 5, -13182518.7184, 4021721.25583
44, 0, 1, -13181958.9665, 4019817.83916
45, 0, 2, -13182064.8481, 4020246.746
46, 0, 5, -13182728.1743, 4021920.4601
47, 0, 5, -13181986.949, 4021954.06071
48, 0, 4, -13182780.4465, 4021206.33049
49, 0, 5, -13183302.2184, 4021792.94534
50, 0, 3, -13182227.3148, 4020613.39051
51, 0, 4, -13182519.5435, 4021155.36136
52, 0, 4, -13182767.7141, 4021216.50021
53, 0, 5, -13183057.064, 4021853.93743
54, 0, 5, -13182155.4733, 4021902.09602
55, 0, 3, -13182293.4429, 4020628.81064
56, 0, 4, -13181643.2167, 4021153.0322
57, 0, 4, -13182949.0254, 4021157.85347
58, 0, 5, -13182182.7959, 4021882.39519
59, 0, 2, -13182230.1711, 4020196.86229
60, 0, 5, -13181640.823, 4021694.46668
61, 0, 4, -13182421.3781, 4021124.20232
62, 0, 4, -13183017.6966, 4021262.93536
63, 0, 3, -13181974.3328, 4020561.13143
64, 0, 5, -13182927.6704, 4021798.41606
65, 0, 3, -13181620.0216, 4020623.39129
66, 0, 2, -13182958.7153, 4020249.99989
67, 0, 3, -13182283.3642, 4020639.24921
68, 0, 2, -13182391.6343, 4020222.74023
69, 0, 4, -13182485.8258, 4021171.18104
70, 0, 5, -13182774.3456, 4021665.14199
71, 0, 2, -13182299.1932, 4020266.65684
72, 0, 5, -13182302.283, 4021736.84158
73, 0, 5, -13183096.6043, 4021829.82481
74, 0, 4, -13182203.4212, 4021285.58951
75, 0, 5, -13182379.5143, 4021933.58104
76, 0, 2, -13182443.5003, 4020222.24248
77, 0, 5, -13181772.5112, 4021879.03359
78, 0, 5, -13181976.0138, 4021823.68209
79, 0, 5, -13181821.3335, 4021636.08779
80, 0, 5, -13182460.142, 4021775.59378
81, 0, 5, -13182536.4089, 4021643.78545
82, 0, 3, -13182467.87, 4020677.01941
83, 0, 2, -13181724.1046, 4020243.00396
84, 0, 5, -13182841.5896, 4021943.86742
85, 0, 5, -13182715.0876, 4021822.17402
86, 0, 4, -13182669.9643, 4021292.50247
87, 0, 5, -13183076.5154, 4021679.66613
88, 0, 3, -13182829.7554, 4020557.19635
89, 0, 1, -13183333.5911, 4019828.60523
90, 0, 5, -13182845.2215, 4021686.84815
91, 0, 3, -13182242.1625, 4020564.32395
92, 0, 4, -13182455.9077, 4021207.4544
93, 0, 3, -13181739.1451, 4020600.00978
94, 0, 5, -13182176.7417, 4021914.86765
95, 0, 4, -13182434.0045, 4021082.24716
96, 0, 5, -13182281.5847, 4021947.65324
97, 0, 1, -13183406.0765, 4019831.83862
98, 0, 3, -13182527.1376, 4020666.63264
99, 0, 2, -13182145.1492, 4020192.71457
100, 0, 5, -13182598.7594, 4021712.76013
101, 0, 4, -13182703.7436, 4021280.8367
102, 0, 5, -13183290.8784, 4021697.25498
103, 0, 5, -13181937.2334, 4021691.58356
104, 0, 4, -13182734.296, 4021264.50986
105, 0, 3, -13183179.7137, 4020575.16094
106, 0, 5, -13182933.6378, 4021945.40903
107, 0, 5, -13182135.6676, 4021680.06058
108, 0, 5, -13182752.8196, 4021931.22843
109, 0, 5, -13181941.8822, 4021684.78145
110, 0, 3, -13181682.4237, 4020649.95936
111, 0, 5, -13181875.6147, 4021749.32
112, 0, 5, -13182588.2376, 4021859.31693
113, 0, 3, -13182591.3226, 4020628.23757
114, 0, 5, -13181637.363, 4021874.82294
115, 0, 5, -13182252.8851, 4021990.92637
116, 0, 1, -13183315.1093, 4019831.11142
117, 0, 4, -13182896.1505, 4021184.61422
118, 0, 3, -13183244.7897, 4020613.84315
119, 0, 2, -13181845.9071, 4020206.66566
120, 0, 3, -13182286.2165, 4020601.06647
121, 0, 5, -13183191.2629, 4021784.22156
122, 0, 4, -13182662.7123, 4021220.04653
123, 0, 5, -13182559.2716, 4021818.92888
124, 0, 4, -13182003.026, 4021299.12961
125, 0, 5, -13181676.9264, 4021811.99882
126, 0, 2, -13182140.4268, 4020249.57643
127, 0, 5, -13182230.0226, 4021843.368
128, 0, 4, -13182420.2883, 4021211.5095
129, 0, 5, -13183098.1667, 4021644.14835
130, 0, 2, -13182560.0161, 4020234.74544
131, 0, 3, -13182530.2915, 4020614.83946
132, 0, 1, -13182544.108, 4019832.76548
133, 0, 5, -13181838.3267, 4021686.20312
134, 0, 3, -13182330.6002, 4020620.82266
135, 0, 4, -13182025.4304, 4021203.31607
136, 0, 4, -13182458.655, 4021114.38443
137, 0, 4, -13182742.7931, 4021222.40297
138, 0, 3, -13182590.7911, 4020703.30987
139, 0, 5, -13182557.0098, 4021914.25956
140, 0, 4, -13182841.6004, 4021282.55977
141, 0, 5, -13182820.0194, 4021794.89473
142, 0, 5, -13182040.7101, 4021770.80909
143, 0, 5, -13182104.0659, 4021726.6009
144, 0, 1, -13182555.8055, 4019817.21971
145, 0, 2, -13182239.9336, 4020205.41928
146, 0, 5, -13182840.0301, 4021952.77813
147, 0, 5, -13182333.5716, 4021633.9539
148, 0, 3, -13183042.2044, 4020622.12879
149, 0, 4, -13182999.3056, 4021248.41349
150, 0, 4, -13183004.7837, 4021223.4166
151, 0, 1, -13182514.2576, 4019836.75625
152, 0, 2, -13182675.289, 4020215.46997
153, 0, 4, -13182944.2218, 4021186.15585
154, 0, 4, -13181872.6609, 4021080.57488
155, 0, 1, -13183012.9729, 4019818.49931
156, 0, 4, -13183234.6875, 4021257.63455
157, 0, 3, -13183020.164, 4020579.61534
158, 0, 2, -13181910.1927, 4020239.9484
159, 0, 3, -13182797.4848, 4020661.72664
160, 0, 4, -13182094.9075, 4021089.2428
161, 0, 4, -13182714.2247, 4021142.59042
162, 0, 5, -13182594.9975, 4021755.46861
163, 0, 2, -13182278.919, 4020197.33049
164, 0, 3, -13182351.188, 4020598.42593
165, 0, 1, -13183205.8194, 4019823.23245
166, 0, 3, -13182429.544, 4020702.8364
167, 0, 3, -13181966.6362, 4020587.46342
168, 0, 5, -13182899.1473, 4021875.16941
169, 0, 4, -13181846.8821, 4021130.24863
170, 0, 4, -13183245.4027, 4021248.92999
171, 0, 4, -13182811.7208, 4021089.05423
172, 0, 2, -13182497.3232, 4020193.98635
173, 0, 4, -13182647.984, 4021266.90888
174, 0, 2, -13182089.4388, 4020243.23678
175, 0, 1, -13182377.1467, 4019848.84088
176, 0, 5, -13181972.7193, 4021698.19196
177, 0, 4, -13182335.7653, 4021100.26836
178, 0, 5, -13182769.6012, 4021710.26616
179, 0, 3, -13182435.2308, 4020564.54717
180, 0, 5, -13182500.5323, 4021920.75089
181, 0, 5, -13182792.0157, 4021688.06863
182, 0, 5, -13182144.5005, 4021964.28456
183, 0, 4, -13182194.9932, 4021085.94645
184, 0, 5, -13183224.473, 4021766.15997
185, 0, 5, -13182029.6318, 4021950.57635
186, 0, 2, -13182179.8646, 4020180.29635
187, 0, 4, -13182462.8896, 4021286.06043
188, 0, 4, -13182531.5315, 4021109.66668
189, 0, 5, -13182155.6794, 4021606.27229
190, 0, 5, -13183024.2109, 4021896.6357
191, 0, 1, -13181584.6915, 4019833.42371
192, 0, 4, -13182404.7096, 4021242.45885
193, 0, 3, -13182994.7341, 4020677.66977
194, 0, 4, -13182926.3824, 4021196.67911
195, 0, 3, -13183047.3238, 4020564.20108
196, 0, 5, -13181700.1282, 4021740.68378
197, 0, 4, -13183104.8728, 4021192.12854
198, 0, 1, -13182594.9328, 4019828.4801
