FID,CID,Type,POINT_X,POINT_Y
0, 0, 5, -13181664.8267, 4020062.75338
1, 0, 17, -13182223.0744, 4021886.50379
2, 0, 14, -13182170.8614, 4021406.21954
3, 0, 1, -13183467.5665, 4020024.93363
4, 0, 3, -13182576.1388, 4019935.70643
5, 0, 19, -13183009.6294, 4021856.23901
6, 0, 19, -13182849.142, 4021876.73556
7, 0, 2, -13183023.7643, 4020058.51549
8, 0, 4, -13182265.1758, 4019949.96695
9, 0, 14, -13182169.5784, 4021238.47241
10, 0, 19, -13182862.2895, 4021803.77585
11, 0, 13, -13182648.4877, 4021180.56258
12, 0, 5, -13181723.6977, 4020047.89024
13, 0, 18, -13182520.1879, 4021827.41675
14, 0, 4, -13182132.2907, 4019883.13241
15, 0, 20, -13183369.2123, 4021798.69962
16, 0, 8, -13183008.9611, 4020715.96625
17, 0, 4, -13182077.4347, 4019879.08057
18, 0, 4, -13182249.163, 4019944.01344
19, 0, 17, -13182149.0871, 4021819.78264
20, 0, 18, -13182426.9504, 4021831.8521
21, 0, 11, -13183320.7471, 4021239.24216
22, 0, 6, -13183399.9068, 4020528.79439
23, 0, 13, -13182604.863, 4021376.48545
24, 0, 5, -13181534.4387, 4019933.42308
25, 0, 12, -13183035.5722, 4021262.97178
26, 0, 13, -13182617.742, 4021312.98134
27, 0, 17, -13182113.8407, 4021887.93313
28, 0, 8, -13183030.2211, 4020590.6092
29, 0, 9, -13182163.2638, 4020596.07755
30, 0, 12, -13182959.7732, 4021374.15051
31, 0, 17, -13182240.795, 4021834.95815
32, 0, 10, -13181604.0762, 4020565.2893
33, 0, 13, -13182611.0651, 4021289.60348
34, 0, 12, -13182995.224, 4021264.31978
35, 0, 1, -13183359.3453, 4019877.31319
36, 0, 14, -13182120.3577, 4021288.11559
37, 0, 13, -13182529.1556, 4021126.77819
38, 0, 5, -13181457.6988, 4019778.91496
39, 0, 9, -13182048.9345, 4020683.8627
40, 0, 20, -13183344.5491, 4021929.56417
41, 0, 1, -13183374.5149, 4020019.27591
42, 0, 7, -13182586.7527, 4020558.25672
43, 0, 8, -13182904.7147, 4020638.29371
44, 0, 14, -13182108.0156, 4021283.96268
45, 0, 1, -13183351.7568, 4019914.06633
46, 0, 11, -13183399.2973, 4021293.13019
47, 0, 20, -13183284.5262, 4021843.85101
48, 0, 13, -13182541.103, 4021277.99777
49, 0, 7, -13182535.0655, 4020633.41015
50, 0, 16, -13181385.8897, 4021889.276
51, 0, 7, -13182491.8191, 4020681.50911
52, 0, 11, -13183382.2141, 4021172.21533
53, 0, 2, -13182970.1167, 4019994.2565
54, 0, 13, -13182667.2811, 4021256.45813
55, 0, 3, -13182669.7113, 4019913.85088
56, 0, 9, -13182165.1856, 4020664.25337
57, 0, 15, -13181557.1906, 4021442.3318
58, 0, 16, -13181819.2861, 4021851.82152
59, 0, 15, -13181556.7771, 4021177.39753
60, 0, 10, -13181618.0334, 4020568.46251
61, 0, 17, -13182109.2128, 4021901.21283
62, 0, 13, -13182563.0731, 4021172.54565
63, 0, 9, -13182031.3592, 4020685.94958
64, 0, 8, -13183044.6547, 4020559.55215
65, 0, 14, -13182101.4575, 4021207.18021
66, 0, 19, -13182993.054, 4021936.14412
67, 0, 15, -13181550.7336, 4021531.12317
68, 0, 19, -13183026.488, 4021759.83646
69, 0, 16, -13181351.8035, 4021852.38893
70, 0, 8, -13182883.8227, 4020638.19775
71, 0, 20, -13183406.1951, 4021959.83065
72, 0, 20, -13183490.8267, 4021865.14206
73, 0, 20, -13183378.823, 4021762.75783
74, 0, 17, -13182100.8935, 4021789.72211
75, 0, 18, -13182525.9659, 4021824.86347
76, 0, 13, -13182566.6585, 4021165.79006
77, 0, 10, -13181507.7709, 4020695.89469
78, 0, 9, -13182085.3188, 4020626.49726
79, 0, 19, -13183058.5459, 4021854.75603
80, 0, 3, -13182724.8932, 4020041.64486
81, 0, 20, -13183418.601, 4021818.42697
82, 0, 1, -13183442.5316, 4019981.83304
83, 0, 2, -13182975.4582, 4019978.21177
84, 0, 1, -13183469.0323, 4019969.59541
85, 0, 3, -13182684.9907, 4019899.6086
86, 0, 4, -13182257.9989, 4019982.38759
87, 0, 7, -13182676.9604, 4020590.68777
88, 0, 7, -13182471.5593, 4020660.81158
89, 0, 7, -13182702.2841, 4020561.45828
90, 0, 19, -13182991.2539, 4021901.48834
91, 0, 4, -13182260.629, 4020077.77408
92, 0, 7, -13182573.1839, 4020590.99191
93, 0, 11, -13183447.6595, 4021199.68585
94, 0, 6, -13183362.1456, 4020546.98391
95, 0, 15, -13181565.2958, 4021150.04873
96, 0, 6, -13183327.6148, 4020561.96575
97, 0, 8, -13183023.4597, 4020532.45628
98, 0, 12, -13182975.0777, 4021259.04542
99, 0, 18, -13182629.0934, 4021815.8827
100, 0, 3, -13182582.5787, 4019926.81438
101, 0, 1, -13183296.3932, 4019945.86184
102, 0, 7, -13182625.5764, 4020528.35722
103, 0, 1, -13183456.0632, 4020032.41842
104, 0, 3, -13182560.1113, 4019990.95721
105, 0, 11, -13183363.3335, 4021347.91477
106, 0, 6, -13183436.4942, 4020628.86971
107, 0, 4, -13182125.6799, 4019884.02929
108, 0, 19, -13182927.5058, 4021826.64436
109, 0, 6, -13183460.2903, 4020549.04713
110, 0, 16, -13181605.203, 4021853.79529
111, 0, 6, -13183498.4429, 4020644.81142
112, 0, 11, -13183311.2027, 4021203.47443
113, 0, 8, -13183042.7402, 4020544.26033
114, 0, 12, -13182995.2744, 4021136.59726
115, 0, 3, -13182695.603, 4020011.77631
116, 0, 10, -13181573.4804, 4020627.26712
117, 0, 11, -13183393.1301, 4021172.26926
118, 0, 7, -13182684.9594, 4020503.74951
119, 0, 10, -13181445.8696, 4020731.43118
120, 0, 7, -13182517.6636, 4020577.96531
121, 0, 4, -13182219.9386, 4020007.93218
122, 0, 2, -13182992.6858, 4019987.53969
123, 0, 1, -13183471.0421, 4019951.74472
124, 0, 12, -13183027.7384, 4021335.52027
125, 0, 14, -13182149.642, 4021339.7665
126, 0, 18, -13182539.2223, 4021817.68514
127, 0, 4, -13182144.3717, 4019888.52458
128, 0, 18, -13182449.2491, 4021898.2022
129, 0, 16, -13181394.9129, 4021855.8909
130, 0, 1, -13183409.3108, 4019963.49868
131, 0, 3, -13182550.0477, 4019841.73072
132, 0, 2, -13182994.9923, 4019921.77502
133, 0, 12, -13182989.1526, 4021172.9461
134, 0, 16, -13181480.8595, 4021878.97206
135, 0, 15, -13181558.4512, 4021446.70209
136, 0, 11, -13183354.7389, 4021219.15246
137, 0, 11, -13183492.9645, 4021224.432
138, 0, 13, -13182502.8667, 4021229.5714
139, 0, 12, -13182929.7767, 4021261.91161
140, 0, 20, -13183402.5011, 4021880.38423
141, 0, 1, -13183324.8735, 4019974.38655
142, 0, 8, -13183037.6019, 4020526.71867
143, 0, 13, -13182585.0903, 4021327.61333
144, 0, 13, -13182613.9158, 4021172.93646
145, 0, 9, -13182211.0711, 4020535.63952
146, 0, 19, -13182919.8406, 4021784.15917
147, 0, 18, -13182427.2017, 4021831.61308
148, 0, 7, -13182677.3635, 4020482.49481
149, 0, 16, -13181548.6689, 4021872.76036
150, 0, 5, -13181622.6311, 4019965.79833
151, 0, 2, -13182895.9565, 4019888.87685
152, 0, 4, -13182287.115, 4020014.95491
153, 0, 1, -13183409.69, 4019951.37013
154, 0, 19, -13182875.4383, 4021906.01067
155, 0, 1, -13183407.9928, 4019969.91278
156, 0, 20, -13183396.206, 4021879.426
157, 0, 10, -13181681.9272, 4020532.45217
158, 0, 20, -13183378.5345, 4021851.7359
