FID,CID,Type,POINT_X,POINT_Y
0, 0, 4, -13181639.4086, 4021379.90844
1, 0, 4, -13181630.6263, 4021150.66749
2, 0, 4, -13182935.8518, 4021376.46832
3, 0, 4, -13182212.9442, 4020460.15192
4, 0, 4, -13182275.8065, 4021371.15439
5, 0, 4, -13182150.2144, 4021607.27281
6, 0, 4, -13182806.4105, 4021711.07621
7, 0, 4, -13182153.2194, 4020712.51508
8, 0, 4, -13183233.6379, 4021004.7529
9, 0, 5, -13182360.7909, 4021886.38261
10, 0, 3, -13182502.0279, 4020268.87772
11, 0, 4, -13182017.7389, 4021212.167
12, 0, 4, -13182499.8238, 4021414.92029
13, 0, 4, -13182825.1726, 4020340.59698
14, 0, 5, -13182731.4701, 4022034.14923
15, 0, 4, -13182856.3493, 4021768.81255
16, 0, 4, -13182236.9891, 4021410.22226
17, 0, 4, -13181907.4955, 4020919.09284
18, 0, 3, -13182370.9439, 4020237.10718
19, 0, 4, -13181629.6053, 4021731.62538
20, 0, 3, -13182305.0226, 4020115.13523
21, 0, 4, -13182555.0205, 4020596.08169
22, 0, 4, -13183207.4866, 4021672.25456
23, 0, 4, -13181933.0328, 4020686.73634
24, 0, 5, -13183113.0158, 4021942.11624
25, 0, 5, -13182980.2125, 4021918.64948
26, 0, 4, -13182186.5802, 4021569.87067
27, 0, 4, -13182945.3402, 4020927.07189
28, 0, 4, -13181871.7564, 4020218.28864
29, 0, 4, -13182634.0644, 4020673.9214
30, 0, 4, -13181754.8814, 4020230.65862
31, 0, 4, -13181643.1047, 4021281.64201
32, 0, 3, -13182462.7248, 4020340.46023
33, 0, 4, -13182887.8261, 4021782.1618
34, 0, 4, -13181957.5578, 4021188.22575
35, 0, 5, -13182028.0814, 4021954.89593
36, 0, 3, -13182521.7813, 4020106.80538
37, 0, 4, -13183230.7371, 4020927.02152
38, 0, 5, -13181720.735, 4021959.29634
39, 0, 4, -13182768.4405, 4020838.22663
40, 0, 4, -13182695.9055, 4020805.1802
41, 0, 4, -13182572.9287, 4021249.51174
42, 0, 4, -13182049.9042, 4020949.15593
43, 0, 4, -13182475.8866, 4020690.63241
44, 0, 4, -13181964.0848, 4021223.00968
45, 0, 4, -13182829.5161, 4020641.58055
46, 0, 4, -13181657.8079, 4021547.42159
47, 0, 4, -13183178.0347, 4020667.56932
48, 0, 4, -13182771.4871, 4020864.20939
49, 0, 4, -13182739.8412, 4021242.16922
50, 0, 4, -13182961.3304, 4021296.03802
51, 0, 4, -13181789.3534, 4021716.07327
52, 0, 4, -13182907.7822, 4020318.42681
53, 0, 4, -13182780.538, 4020781.91899
54, 0, 5, -13181893.8019, 4021990.28406
55, 0, 5, -13182581.4096, 4022044.22907
56, 0, 5, -13181906.3265, 4021917.23158
57, 0, 4, -13182461.3599, 4021037.25596
58, 0, 4, -13182611.8193, 4020741.47754
59, 0, 4, -13182092.0949, 4020371.30563
60, 0, 4, -13182186.3629, 4021287.10259
61, 0, 4, -13181579.4633, 4021298.77845
62, 0, 4, -13181900.3888, 4021338.07213
63, 0, 4, -13182356.9259, 4021150.3789
64, 0, 4, -13182704.1423, 4021287.06132
65, 0, 4, -13182506.626, 4020720.14197
66, 0, 4, -13182879.6881, 4021129.25224
67, 0, 3, -13182491.2546, 4020086.35705
68, 0, 3, -13182461.1419, 4020153.60394
69, 0, 4, -13182316.5977, 4021439.81043
70, 0, 1, -13183088.3438, 4019948.2214
71, 0, 5, -13182562.0472, 4022007.40874
72, 0, 4, -13182879.7777, 4021002.52813
73, 0, 4, -13181649.8887, 4020714.55686
74, 0, 4, -13182541.9855, 4020561.35596
75, 0, 5, -13182941.8204, 4021999.78557
76, 0, 4, -13182598.1915, 4021290.00369
77, 0, 4, -13182065.5316, 4020760.28027
78, 0, 4, -13182245.7364, 4020715.69773
79, 0, 3, -13182362.7623, 4020069.41478
80, 0, 4, -13182113.1332, 4021383.86641
81, 0, 5, -13182623.5179, 4021928.34063
82, 0, 4, -13182950.956, 4020937.28797
83, 0, 4, -13181974.4155, 4021716.23277
84, 0, 4, -13182667.4611, 4021238.99808
85, 0, 4, -13182902.9024, 4020289.14949
86, 0, 4, -13183174.3145, 4021242.24348
87, 0, 4, -13182429.2654, 4020643.70462
88, 0, 4, -13182152.2775, 4021294.67884
89, 0, 5, -13181885.9694, 4021971.45759
90, 0, 4, -13182336.2834, 4021341.2663
91, 0, 5, -13181980.6916, 4022021.59298
92, 0, 4, -13182666.5764, 4020615.80323
93, 0, 4, -13181886.4894, 4021223.20906
94, 0, 4, -13183236.0999, 4021085.99132
95, 0, 4, -13182696.3869, 4020437.28412
96, 0, 4, -13182044.6519, 4020633.12104
97, 0, 4, -13182561.9871, 4021327.85393
98, 0, 4, -13183183.3204, 4020627.01481
99, 0, 4, -13181865.3373, 4021717.97213
100, 0, 5, -13182106.6897, 4022011.42534
101, 0, 3, -13182422.8138, 4020030.79831
102, 0, 4, -13183110.8224, 4020237.44952
103, 0, 5, -13182465.1851, 4021980.11361
104, 0, 5, -13182838.1212, 4022042.26491
105, 0, 4, -13182320.2192, 4021314.38699
106, 0, 4, -13181976.4875, 4021062.78214
107, 0, 1, -13183069.5648, 4019821.72858
108, 0, 5, -13182280.4987, 4021998.71609
109, 0, 4, -13182022.0671, 4021421.50328
110, 0, 4, -13181963.4828, 4020891.90682
111, 0, 4, -13181674.0527, 4021735.71809
112, 0, 5, -13181932.0868, 4021933.68574
113, 0, 4, -13182934.3578, 4020936.95182
114, 0, 4, -13182953.3082, 4021195.21337
115, 0, 5, -13181911.1902, 4021979.05216
116, 0, 4, -13182834.7804, 4021316.45998
117, 0, 4, -13182717.208, 4020365.90429
118, 0, 4, -13181921.6904, 4021278.88167
119, 0, 4, -13181766.24, 4021764.26727
120, 0, 4, -13181905.9791, 4020817.02047
121, 0, 4, -13181922.7926, 4021373.30644
122, 0, 4, -13181601.7994, 4020896.17145
123, 0, 4, -13182842.7147, 4021740.75747
124, 0, 4, -13183215.0476, 4020588.34681
125, 0, 4, -13182413.444, 4021113.63877
126, 0, 4, -13182699.9207, 4020464.11338
127, 0, 5, -13181950.0124, 4022041.16805
128, 0, 5, -13182490.7329, 4021959.79177
129, 0, 4, -13183232.3432, 4021678.84432
130, 0, 4, -13182397.2691, 4020834.81022
131, 0, 1, -13183229.4151, 4019869.47488
132, 0, 4, -13182814.057, 4021718.90577
133, 0, 4, -13183195.7083, 4021797.81054
134, 0, 4, -13183009.9878, 4020294.84185
135, 0, 4, -13181627.8545, 4020497.13533
136, 0, 4, -13182783.0764, 4020736.03715
137, 0, 4, -13182039.6272, 4021354.46166
138, 0, 5, -13183048.048, 4021977.45706
139, 0, 4, -13183023.0137, 4021819.54356
140, 0, 4, -13182958.8856, 4020835.90842
141, 0, 4, -13181992.0066, 4020306.82258
142, 0, 4, -13182846.9796, 4021114.7085
143, 0, 4, -13181984.6944, 4020981.02907
144, 0, 1, -13183220.6902, 4019884.84884
145, 0, 4, -13182786.0447, 4021646.96284
146, 0, 4, -13181586.1032, 4021303.35371
147, 0, 4, -13182217.663, 4020462.61642
148, 0, 1, -13183144.625, 4019794.79484
149, 0, 3, -13182356.7432, 4020310.09803
150, 0, 4, -13182051.6525, 4021040.48097
151, 0, 4, -13182371.4664, 4021024.85138
152, 0, 4, -13182797.9277, 4020802.26719
153, 0, 1, -13183102.0933, 4019860.92756
154, 0, 3, -13182512.2781, 4020220.02181
155, 0, 4, -13181663.9771, 4020692.07304
156, 0, 4, -13182318.3061, 4020798.51826
157, 0, 4, -13182002.3156, 4020322.00333
158, 0, 5, -13182248.6992, 4022029.17917
159, 0, 4, -13181612.6698, 4021578.19857
160, 0, 5, -13181902.2728, 4021920.55113
161, 0, 4, -13182563.3785, 4020613.25642
162, 0, 4, -13182713.6524, 4020732.5032
163, 0, 4, -13181701.6503, 4020220.85523
164, 0, 4, -13183229.9477, 4021692.94292
165, 0, 4, -13181844.1878, 4021697.2852
166, 0, 4, -13183235.2753, 4020715.60131
167, 0, 4, -13183052.5408, 4021747.0046
168, 0, 4, -13182238.9273, 4021522.66793
169, 0, 4, -13182447.7346, 4020980.02419
170, 0, 5, -13182342.3165, 4021964.28962
171, 0, 4, -13182238.4807, 4021328.51562
172, 0, 4, -13182103.2536, 4021374.53913
173, 0, 4, -13182935.8306, 4020881.67589
174, 0, 4, -13182013.8206, 4020654.58563
175, 0, 4, -13182467.4816, 4020634.86421
176, 0, 4, -13182699.0954, 4021573.98095
177, 0, 4, -13183223.2873, 4020376.33115
178, 0, 4, -13182530.2705, 4020793.50442
179, 0, 4, -13182675.6194, 4021582.26944
180, 0, 4, -13182351.8728, 4020622.02432
181, 0, 5, -13181831.8181, 4022013.35012
182, 0, 4, -13182156.2309, 4021407.9803
183, 0, 4, -13182913.4349, 4021292.82212
184, 0, 5, -13182103.4638, 4021984.61868
185, 0, 5, -13182811.0942, 4021918.67263
186, 0, 4, -13181737.9469, 4021809.6002
187, 0, 4, -13182918.9809, 4021354.04045
188, 0, 4, -13181597.9253, 4020551.63753
189, 0, 4, -13182619.6073, 4021286.81685
190, 0, 4, -13182592.5117, 4020469.02802
191, 0, 4, -13182429.4497, 4020775.07694
192, 0, 4, -13181591.5254, 4021259.99273
193, 0, 5, -13182356.0525, 4021969.3903
194, 0, 4, -13183206.9879, 4020899.90634
195, 0, 4, -13182364.9852, 4021238.33249
196, 0, 4, -13183170.5195, 4021459.5671
197, 0, 4, -13182119.355, 4021257.56603
198, 0, 4, -13182629.4994, 4021606.23421
199, 0, 4, -13182388.5768, 4021272.63332
200, 0, 5, -13181785.8694, 4022029.3276
201, 0, 4, -13182936.1266, 4021080.86726
202, 0, 4, -13183216.7813, 4020907.87162
203, 0, 4, -13183209.1604, 4021666.81852
204, 0, 4, -13183104.3319, 4020227.49137
205, 0, 4, -13183192.852, 4021642.56757
206, 0, 3, -13182298.198, 4020211.14036
207, 0, 4, -13182379.6796, 4020887.86484
208, 0, 4, -13182546.663, 4020652.38043
209, 0, 5, -13183095.7803, 4021942.75001
210, 0, 5, -13182514.9874, 4021984.52085
211, 0, 4, -13181967.9977, 4021277.91133
212, 0, 4, -13183193.52, 4020487.84888
213, 0, 4, -13183063.5236, 4021748.64766
214, 0, 4, -13181665.8181, 4021536.07755
215, 0, 1, -13183084.9864, 4019884.57746
216, 0, 5, -13182111.7341, 4021897.30328
217, 0, 4, -13181857.282, 4021773.32649
218, 0, 3, -13182394.3806, 4020101.84057
219, 0, 4, -13182428.2246, 4020860.93865
220, 0, 4, -13182239.0153, 4021469.43849
221, 0, 4, -13182176.0964, 4021571.36463
222, 0, 4, -13181610.2672, 4021495.64498
223, 0, 4, -13181606.948, 4021399.37778
224, 0, 4, -13182481.8518, 4021246.06169
225, 0, 5, -13182265.8396, 4021914.34823
226, 0, 4, -13182500.6381, 4020803.66398
227, 0, 2, -13181613.3022, 4019911.36744
228, 0, 4, -13182840.2953, 4021381.43869
229, 0, 1, -13183114.3181, 4019886.28543
230, 0, 5, -13182993.1164, 4022020.68488
231, 0, 4, -13182722.8122, 4020399.35671
232, 0, 4, -13181867.1925, 4021204.21996
233, 0, 3, -13182470.3251, 4020095.56089
234, 0, 4, -13183237.4205, 4020368.72508
235, 0, 4, -13182439.887, 4021183.99065
236, 0, 4, -13182392.239, 4021243.72579
237, 0, 4, -13182632.0339, 4020802.08248
238, 0, 4, -13182922.1485, 4021029.94755
239, 0, 3, -13182451.3111, 4020350.5625
240, 0, 4, -13182905.8601, 4021233.82842
241, 0, 4, -13182775.6359, 4021719.06005
242, 0, 1, -13183180.6829, 4019802.47894
243, 0, 4, -13181955.2836, 4020746.57641
244, 0, 3, -13182500.7102, 4020158.41625
245, 0, 1, -13183053.5594, 4019860.42903
246, 0, 4, -13182245.9546, 4021353.4552
247, 0, 4, -13182161.481, 4020417.13361
248, 0, 4, -13182568.9505, 4021494.05526
249, 0, 4, -13181971.7776, 4021649.26551
250, 0, 4, -13183239.1019, 4021202.29853
251, 0, 4, -13183222.8936, 4020340.21259
252, 0, 4, -13181674.543, 4020236.30065
253, 0, 4, -13182959.1874, 4020678.39789
254, 0, 4, -13182500.6467, 4020765.91363
255, 0, 4, -13182456.2466, 4021217.18085
256, 0, 4, -13182794.1694, 4020815.25666
257, 0, 4, -13181575.6802, 4020564.70657
258, 0, 4, -13181655.7108, 4020259.96885
259, 0, 4, -13182143.5615, 4021629.40181
260, 0, 4, -13181930.2323, 4020834.79597
261, 0, 5, -13182073.0969, 4021898.96081
262, 0, 4, -13182427.2417, 4020676.2439
263, 0, 4, -13182331.2837, 4021335.0399
264, 0, 4, -13182233.6497, 4021423.89442
265, 0, 5, -13181844.0988, 4021927.97405
266, 0, 4, -13182525.4665, 4021384.18046
267, 0, 4, -13181643.0664, 4020717.6149
268, 0, 3, -13182490.7747, 4020261.89616
269, 0, 4, -13183236.5736, 4020629.22333
270, 0, 4, -13182092.7476, 4021398.95237
271, 0, 5, -13182372.8232, 4021920.63121
272, 0, 5, -13182959.3157, 4021988.59619
273, 0, 4, -13182044.0366, 4020796.60481
274, 0, 4, -13183213.6711, 4021012.57466
275, 0, 4, -13182209.86, 4021366.65969
276, 0, 4, -13182062.9095, 4021234.36911
277, 0, 4, -13182290.6066, 4021311.57851
278, 0, 5, -13182674.5965, 4022012.64669
279, 0, 4, -13182853.2566, 4021128.63384
280, 0, 4, -13181937.2173, 4020732.13954
281, 0, 4, -13182645.5307, 4020651.15848
282, 0, 4, -13181964.7368, 4020744.64623
283, 0, 4, -13182161.3594, 4020460.32226
284, 0, 4, -13183225.4506, 4020277.3106
285, 0, 4, -13183175.9307, 4020849.05478
286, 0, 4, -13182001.367, 4020298.4468
287, 0, 4, -13182844.7626, 4020895.00354
288, 0, 4, -13181624.3453, 4020323.90172
289, 0, 4, -13182044.8941, 4020329.80606
290, 0, 3, -13182441.3101, 4020342.36496
291, 0, 4, -13182277.9372, 4021302.3254
292, 0, 4, -13183219.4982, 4021653.51132
293, 0, 4, -13182813.8321, 4021035.84296
294, 0, 4, -13182453.2528, 4020994.94155
295, 0, 2, -13181605.7899, 4019889.67576
296, 0, 5, -13182450.6873, 4021944.58212
297, 0, 4, -13182672.8739, 4021645.04196
298, 0, 4, -13182538.551, 4021302.14115
299, 0, 4, -13182913.8446, 4020673.92712
300, 0, 5, -13182880.0245, 4021946.47051
301, 0, 4, -13182872.7307, 4020838.14819
302, 0, 4, -13183158.1387, 4021462.36083
303, 0, 4, -13182102.5748, 4021269.47831
304, 0, 4, -13182011.1391, 4020770.12705
305, 0, 4, -13183171.0306, 4021424.89587
306, 0, 4, -13182950.7515, 4021001.56692
307, 0, 4, -13182124.5648, 4021368.98994
308, 0, 4, -13183194.4597, 4020805.25296
309, 0, 4, -13182368.7793, 4021239.93518
310, 0, 4, -13182427.7613, 4021054.33835
311, 0, 1, -13183068.1207, 4019887.79197
312, 0, 3, -13182403.3831, 4020307.2302
313, 0, 1, -13183154.9255, 4019988.55574
314, 0, 4, -13182704.6748, 4020677.23166
315, 0, 4, -13182870.2363, 4021362.5352
316, 0, 4, -13182901.9578, 4021288.57547
317, 0, 4, -13181876.938, 4021744.67804
318, 0, 4, -13182102.556, 4021240.03882
319, 0, 4, -13181923.1797, 4020923.17208
320, 0, 4, -13181934.4607, 4021663.98389
321, 0, 4, -13182892.0746, 4020935.7429
322, 0, 2, -13181746.8118, 4019938.74292
323, 0, 4, -13182375.131, 4021035.98469
324, 0, 4, -13182769.9685, 4021119.92674
325, 0, 5, -13182689.5683, 4021969.34458
326, 0, 4, -13182879.058, 4021302.25645
327, 0, 4, -13183226.6227, 4021718.60685
328, 0, 4, -13181592.3918, 4020630.34898
329, 0, 4, -13182502.1995, 4021389.70432
330, 0, 4, -13182903.4228, 4020291.22504
331, 0, 4, -13181964.039, 4020845.63033
332, 0, 4, -13182063.9188, 4021619.86
333, 0, 4, -13182109.3638, 4020770.75465
334, 0, 4, -13182441.2521, 4021396.16369
335, 0, 4, -13182802.4528, 4020980.93388
336, 0, 4, -13182575.8404, 4021336.68251
337, 0, 4, -13182771.4164, 4020372.93723
338, 0, 4, -13182034.8279, 4021699.91189
339, 0, 4, -13183233.2706, 4021458.19491
340, 0, 4, -13183197.5851, 4021450.45519
341, 0, 4, -13182341.6252, 4020723.8735
342, 0, 5, -13181815.7665, 4022010.02656
343, 0, 4, -13182280.8426, 4021327.59129
344, 0, 4, -13181624.059, 4020602.19166
345, 0, 3, -13182427.2872, 4020279.95847
346, 0, 4, -13182840.9157, 4021415.1079
347, 0, 4, -13182703.0964, 4020407.67412
348, 0, 4, -13181946.2291, 4021286.07593
349, 0, 4, -13183159.9035, 4020793.69568
350, 0, 4, -13181930.0856, 4021199.44805
351, 0, 4, -13183084.0201, 4021777.5889
352, 0, 3, -13182395.3948, 4020099.13098
353, 0, 4, -13181608.3679, 4021312.4043
354, 0, 4, -13183176.0822, 4020257.80768
355, 0, 4, -13182422.3239, 4021149.91853
356, 0, 4, -13183185.5397, 4020202.01737
357, 0, 4, -13182798.3956, 4021057.2797
358, 0, 4, -13181607.2901, 4020515.39326
359, 0, 4, -13183129.0717, 4020208.91374
360, 0, 5, -13183013.6482, 4021943.90111
361, 0, 4, -13182640.61, 4021574.30683
362, 0, 4, -13181926.0659, 4021676.38691
363, 0, 1, -13183131.2403, 4019971.12274
364, 0, 4, -13183169.9645, 4021836.51981
365, 0, 4, -13182436.5335, 4021081.50061
366, 0, 5, -13182972.5619, 4021968.89604
367, 0, 4, -13182041.8184, 4020333.5805
368, 0, 1, -13183034.4655, 4019862.28257
369, 0, 4, -13182886.2614, 4020952.52302
370, 0, 4, -13181866.4738, 4020796.81088
371, 0, 4, -13182580.7185, 4020616.29848
372, 0, 4, -13182945.2182, 4020747.17886
373, 0, 5, -13182129.4953, 4021965.41133
374, 0, 4, -13183152.4412, 4021818.54655
375, 0, 5, -13182441.4748, 4021924.67859
376, 0, 4, -13181909.4992, 4020831.25916
377, 0, 4, -13182628.3719, 4020737.89585
378, 0, 5, -13182592.8044, 4021914.93575
379, 0, 4, -13181586.6103, 4021708.13235
380, 0, 4, -13181576.4443, 4020477.34512
381, 0, 4, -13181643.4684, 4020840.20264
382, 0, 4, -13182465.2178, 4021134.44209
383, 0, 4, -13181893.424, 4021330.29162
384, 0, 3, -13182423.8895, 4020248.31443
385, 0, 4, -13183218.8961, 4021762.75415
386, 0, 4, -13183165.4199, 4021029.26703
387, 0, 4, -13182529.2974, 4021249.03511
388, 0, 2, -13181605.5895, 4019946.43528
389, 0, 4, -13181655.0191, 4021801.59825
390, 0, 4, -13182414.9071, 4021167.76893
391, 0, 4, -13182229.9062, 4021468.65288
392, 0, 5, -13181808.7123, 4021939.83774
393, 0, 3, -13182411.55, 4020286.882
394, 0, 4, -13182629.6527, 4020815.04107
395, 0, 4, -13181897.6895, 4021012.45803
396, 0, 2, -13181718.8515, 4019819.42801
397, 0, 4, -13182873.6138, 4021195.62047
398, 0, 4, -13182692.4385, 4021383.76835
399, 0, 1, -13183055.8694, 4019935.28857
400, 0, 5, -13182892.5134, 4021912.76928
401, 0, 4, -13183236.1016, 4020874.9102
402, 0, 4, -13182833.9207, 4020693.1343
403, 0, 4, -13182851.0649, 4021013.90046
404, 0, 4, -13181581.5131, 4020615.42473
405, 0, 4, -13182391.691, 4021346.82153
406, 0, 4, -13182160.4333, 4021298.94496
407, 0, 3, -13182526.8274, 4020175.7401
408, 0, 4, -13182852.9478, 4020732.32198
409, 0, 4, -13183169.2994, 4021486.2757
410, 0, 4, -13183164.2693, 4021373.11122
411, 0, 4, -13181653.5796, 4020793.51848
412, 0, 4, -13181946.2155, 4020785.30655
413, 0, 4, -13182914.8145, 4021721.02867
414, 0, 4, -13183201.8379, 4020621.70052
415, 0, 4, -13182094.8646, 4021352.22185
416, 0, 4, -13182890.9182, 4021006.65666
417, 0, 4, -13182015.0897, 4020711.96436
418, 0, 4, -13183210.7778, 4021721.6192
419, 0, 4, -13181829.6872, 4021788.96686
420, 0, 4, -13182827.0862, 4021132.48654
421, 0, 4, -13182961.6299, 4021090.16009
422, 0, 5, -13182762.9208, 4021956.34615
423, 0, 4, -13182843.2836, 4020725.74589
424, 0, 4, -13183189.1488, 4020276.88519
425, 0, 4, -13182284.8238, 4021380.21633
426, 0, 4, -13183158.8344, 4020397.74651
427, 0, 4, -13182640.9328, 4021569.57684
428, 0, 2, -13181607.2225, 4019820.4739
429, 0, 4, -13182032.7899, 4020982.82799
430, 0, 5, -13182437.9536, 4021913.47946
431, 0, 4, -13182394.5121, 4021090.38785
432, 0, 4, -13182033.7736, 4021018.54238
433, 0, 4, -13182200.1483, 4020694.7436
434, 0, 4, -13182800.0306, 4020326.3397
435, 0, 4, -13181574.6194, 4020333.25198
436, 0, 4, -13182246.1589, 4021346.18757
437, 0, 4, -13183158.2801, 4021097.67832
438, 0, 4, -13183238.9814, 4020592.54527
439, 0, 5, -13182832.3882, 4021949.27427
440, 0, 5, -13182897.9513, 4022013.26454
441, 0, 4, -13183215.687, 4020343.88334
442, 0, 4, -13182020.3186, 4020777.30958
443, 0, 4, -13182026.6892, 4021314.30127
444, 0, 4, -13182705.726, 4020660.02481
445, 0, 4, -13183178.9847, 4020788.08781
446, 0, 4, -13182924.3791, 4020876.05191
447, 0, 4, -13182721.3112, 4021419.1839
448, 0, 4, -13182907.7134, 4020687.73145
449, 0, 4, -13183236.1323, 4021551.91901
450, 0, 4, -13183162.3768, 4021599.52411
451, 0, 4, -13181617.0421, 4020354.18938
452, 0, 4, -13181995.3213, 4020991.59067
453, 0, 1, -13183234.1195, 4019910.64911
454, 0, 4, -13181655.0387, 4021664.47464
455, 0, 4, -13183228.9829, 4020747.26058
456, 0, 4, -13181917.7559, 4021361.3295
457, 0, 4, -13181664.3305, 4021807.79755
458, 0, 4, -13181619.1189, 4020835.80335
459, 0, 4, -13182601.0805, 4021333.09901
460, 0, 4, -13182738.7953, 4020763.61948
461, 0, 4, -13182161.4894, 4021544.29346
462, 0, 4, -13182470.1702, 4020825.22879
463, 0, 4, -13183189.1483, 4021170.94556
464, 0, 4, -13181961.7254, 4021325.58629
465, 0, 3, -13182333.1947, 4020098.43133
466, 0, 5, -13182652.5023, 4022013.5556
467, 0, 4, -13182858.4306, 4020856.81982
468, 0, 4, -13182439.8086, 4021096.84946
469, 0, 3, -13182394.0189, 4020274.86373
470, 0, 4, -13182664.7823, 4021400.94993
471, 0, 4, -13183197.0193, 4021256.04563
