FID,CID,Type,POINT_X,POINT_Y
0, 0, 2, -13182129.3897, 4020515.95552
1, 0, 2, -13181724.4001, 4020718.7438
2, 0, 2, -13183135.8498, 4020275.72029
3, 0, 1, -13183337.0499, 4019738.13494
4, 0, 2, -13182955.5729, 4020795.36494
5, 0, 2, -13181579.6633, 4021606.26972
6, 0, 2, -13182804.422, 4021028.80685
7, 0, 2, -13182479.6382, 4020733.13419
8, 0, 2, -13181803.9276, 4021446.09496
9, 0, 2, -13182971.8111, 4021667.71979
10, 0, 1, -13183500.2305, 4019666.22316
11, 0, 2, -13182375.3386, 4020738.45496
12, 0, 2, -13181580.3635, 4020358.30108
13, 0, 2, -13182449.2514, 4021787.37178
14, 0, 2, -13182547.2852, 4021570.14972
15, 0, 2, -13182225.7962, 4021166.55346
16, 0, 2, -13181710.5091, 4021174.83297
17, 0, 2, -13182469.8653, 4021267.90178
18, 0, 2, -13182682.5819, 4020712.28205
19, 0, 2, -13182677.7752, 4021449.03209
20, 0, 1, -13183081.6956, 4019847.53701
21, 0, 2, -13181495.2013, 4021390.44421
22, 0, 2, -13182228.6405, 4020050.2234
23, 0, 2, -13181904.4157, 4020841.4038
24, 0, 2, -13182964.1767, 4021415.53337
25, 0, 2, -13182890.3711, 4021285.64336
26, 0, 2, -13182464.7595, 4021747.15856
27, 0, 2, -13182640.3168, 4020646.55459
28, 0, 2, -13182485.3271, 4020836.19565
29, 0, 2, -13182147.6103, 4020504.27571
30, 0, 2, -13181914.3562, 4021543.37061
31, 0, 2, -13183188.5993, 4020870.27573
32, 0, 2, -13181857.6942, 4020135.88726
33, 0, 2, -13183131.0063, 4021216.79014
34, 0, 2, -13182929.6752, 4021127.81337
35, 0, 1, -13183115.1164, 4019840.61621
36, 0, 2, -13183148.2433, 4020957.39972
37, 0, 2, -13181475.1382, 4020525.89624
38, 0, 2, -13182841.1495, 4020640.10718
39, 0, 2, -13182375.3005, 4021776.16111
40, 0, 2, -13182818.7594, 4020535.72215
41, 0, 2, -13182759.5988, 4021224.33977
42, 0, 2, -13181410.3244, 4020883.49694
43, 0, 1, -13183082.141, 4019885.59212
44, 0, 2, -13182271.835, 4019998.40308
45, 0, 2, -13182687.6972, 4020471.43373
46, 0, 2, -13183128.0688, 4021534.44158
47, 0, 2, -13182545.7338, 4021456.70753
48, 0, 2, -13181841.8753, 4020476.24376
49, 0, 2, -13181980.7019, 4021300.60146
50, 0, 2, -13182522.2562, 4020258.57892
51, 0, 1, -13183517.8621, 4019738.94341
52, 0, 2, -13182475.119, 4020256.62064
53, 0, 2, -13183277.489, 4020528.50602
54, 0, 2, -13182314.5571, 4020004.55257
55, 0, 2, -13182051.5211, 4021160.45859
56, 0, 1, -13183274.2097, 4019750.23648
57, 0, 2, -13182728.1495, 4020956.82569
58, 0, 2, -13183193.4959, 4021492.7039
59, 0, 2, -13181884.1164, 4020139.14161
60, 0, 2, -13182208.4071, 4020286.3424
61, 0, 2, -13182557.5604, 4021796.82854
62, 0, 2, -13182287.8268, 4020281.36774
63, 0, 2, -13182567.5561, 4021606.33399
64, 0, 2, -13181991.7985, 4020677.2428
65, 0, 2, -13181629.9847, 4020327.27897
66, 0, 1, -13183588.6769, 4019808.05152
67, 0, 2, -13182357.2913, 4020752.54354
68, 0, 2, -13182943.935, 4021645.79924
69, 0, 2, -13182879.876, 4020682.48212
70, 0, 2, -13182548.6524, 4020252.56351
71, 0, 2, -13182038.9549, 4020985.10585
72, 0, 2, -13181739.433, 4021725.37839
73, 0, 2, -13183020.9373, 4021359.4379
74, 0, 2, -13181795.2528, 4020578.28846
75, 0, 2, -13181903.5349, 4021812.89545
76, 0, 2, -13183007.592, 4021609.75928
77, 0, 2, -13182933.4503, 4021436.78211
78, 0, 2, -13182879.9329, 4020159.76935
79, 0, 2, -13182359.3913, 4021224.02624
80, 0, 2, -13182828.556, 4020353.83239
81, 0, 2, -13182638.0637, 4021741.86475
82, 0, 2, -13182627.6047, 4020315.14183
83, 0, 2, -13181903.9877, 4020413.00042
84, 0, 2, -13182475.3916, 4020021.41123
85, 0, 1, -13183411.2248, 4019815.21797
86, 0, 1, -13183233.2151, 4020123.41291
87, 0, 1, -13183204.5096, 4019964.1372
88, 0, 2, -13182004.8091, 4020607.47343
89, 0, 2, -13182809.9061, 4021059.20785
90, 0, 2, -13183049.0552, 4021313.76029
91, 0, 2, -13182938.2809, 4021669.46923
92, 0, 2, -13183015.8415, 4020600.11036
93, 0, 2, -13181917.1162, 4020140.12806
94, 0, 2, -13183275.9964, 4021419.18811
95, 0, 2, -13182605.3617, 4021290.1742
96, 0, 2, -13182951.2097, 4021426.47259
97, 0, 2, -13181762.9403, 4020171.86098
98, 0, 2, -13182210.6599, 4021161.58718
