FID,CID,Type,POINT_X,POINT_Y
0, 0, 3, -13182784.0648, 4021368.3122
1, 0, 4, -13182055.3178, 4021715.98528
2, 0, 3, -13181806.6485, 4021349.56319
3, 0, 3, -13181565.5579, 4021392.89985
4, 0, 2, -13183079.7265, 4021098.49643
5, 0, 2, -13183030.0624, 4021100.51269
6, 0, 3, -13183174.6711, 4021391.38396
7, 0, 3, -13183146.6769, 4020867.09195
8, 0, 5, -13183594.8557, 4021188.23715
9, 0, 3, -13181596.1313, 4021351.14835
10, 0, 3, -13182607.8788, 4020982.20684
11, 0, 3, -13183371.0861, 4020392.31918
12, 0, 5, -13183141.3711, 4021790.67184
13, 0, 4, -13181975.2619, 4021608.66603
14, 0, 5, -13183349.0811, 4021645.89035
15, 0, 5, -13183144.9927, 4021806.17638
16, 0, 3, -13182742.1926, 4021399.02463
17, 0, 4, -13182905.5993, 4021679.47722
18, 0, 3, -13181723.9146, 4020375.98363
19, 0, 5, -13182432.6699, 4019697.52445
20, 0, 1, -13181988.7796, 4021089.88578
21, 0, 3, -13181739.8161, 4021409.8436
22, 0, 5, -13183527.2007, 4020455.96314
23, 0, 5, -13181369.8367, 4020433.79651
24, 0, 5, -13183031.2968, 4019866.43172
25, 0, 3, -13183339.3735, 4021349.19022
26, 0, 3, -13183290.1947, 4020875.2641
27, 0, 5, -13181476.1425, 4020218.97832
28, 0, 4, -13182734.1374, 4021576.5853
29, 0, 3, -13182257.9166, 4020838.95572
30, 0, 3, -13182443.8364, 4020355.66634
31, 0, 5, -13182321.9815, 4022031.20539
32, 0, 4, -13182826.6803, 4021634.39177
33, 0, 5, -13182064.1309, 4022006.71362
34, 0, 4, -13182899.4017, 4021749.59672
35, 0, 3, -13181787.5754, 4020850.74585
36, 0, 4, -13182983.4137, 4021659.35013
37, 0, 4, -13182102.8918, 4021766.72824
38, 0, 5, -13183574.6138, 4021236.70506
39, 0, 5, -13181821.8495, 4019883.15009
40, 0, 3, -13181776.1488, 4020830.22137
41, 0, 5, -13182771.0472, 4022023.71255
42, 0, 5, -13182638.8619, 4022015.87595
43, 0, 5, -13183375.385, 4020134.39421
44, 0, 3, -13183201.9066, 4020843.19862
45, 0, 4, -13182107.0624, 4021639.18164
46, 0, 3, -13182788.691, 4020349.16416
47, 0, 3, -13182029.9833, 4020851.01943
48, 0, 4, -13182182.2545, 4021679.8843
49, 0, 5, -13182701.8328, 4019716.02144
50, 0, 4, -13182789.2472, 4021638.11886
51, 0, 4, -13182921.7765, 4021671.35586
52, 0, 4, -13182754.6454, 4021730.01043
53, 0, 3, -13183159.4961, 4021360.96129
54, 0, 5, -13181542.57, 4021598.74254
55, 0, 5, -13181274.8395, 4020688.91516
56, 0, 5, -13181613.5427, 4021702.09089
57, 0, 4, -13181898.0987, 4021673.21974
