FID,CID,Type,POINT_X,POINT_Y
0, 0, 3, -13182860.5048, 4020814.85865
1, 0, 4, -13181833.4445, 4021008.99875
2, 0, 3, -13182420.2051, 4021321.26885
3, 0, 3, -13182900.5373, 4021155.95803
4, 0, 5, -13183150.3438, 4021674.91199
5, 0, 3, -13182867.783, 4021252.43341
6, 0, 2, -13182546.7226, 4021121.84468
7, 0, 3, -13182172.2216, 4021329.7021
8, 0, 2, -13182623.177, 4021019.86909
9, 0, 3, -13181967.5946, 4020761.10957
10, 0, 5, -13182699.2978, 4020072.63832
11, 0, 6, -13183463.5339, 4020059.36919
12, 0, 6, -13183443.2674, 4019843.36076
13, 0, 5, -13181592.8746, 4020474.67027
14, 0, 2, -13182294.2346, 4020729.94023
15, 0, 4, -13181809.7581, 4021143.2759
16, 0, 4, -13182631.9384, 4021517.8574
17, 0, 3, -13182421.3287, 4020460.64797
18, 0, 4, -13183100.7408, 4020915.89658
19, 0, 4, -13181815.8425, 4021272.59006
20, 0, 3, -13182032.9017, 4020625.82121
21, 0, 5, -13181931.5039, 4021671.60712
22, 0, 6, -13183473.243, 4021605.89996
23, 0, 4, -13181811.1543, 4021005.21983
24, 0, 4, -13181819.6827, 4020619.37527
25, 0, 2, -13182472.7014, 4020674.728
26, 0, 2, -13182511.3242, 4020726.37208
27, 0, 3, -13182867.5643, 4020526.61839
28, 0, 3, -13182137.1661, 4021339.55894
29, 0, 5, -13183268.0965, 4020756.02681
30, 0, 4, -13181854.8004, 4020551.27967
31, 0, 2, -13182622.6224, 4021141.28824
32, 0, 2, -13182703.0421, 4020978.62365
33, 0, 2, -13182400.6531, 4020673.32056
34, 0, 4, -13181837.606, 4020772.18098
35, 0, 3, -13182903.4025, 4021068.96562
36, 0, 5, -13182021.5073, 4020068.6002
37, 0, 3, -13182212.9258, 4020531.36531
38, 0, 4, -13181841.1212, 4020529.38063
39, 0, 3, -13182497.8652, 4020489.43691
40, 0, 5, -13183270.164, 4021496.97814
41, 0, 4, -13182086.3427, 4021499.05204
42, 0, 3, -13182896.3085, 4020595.98766
43, 0, 5, -13183223.9552, 4021689.36818
44, 0, 4, -13181835.0545, 4020288.17548
45, 0, 4, -13181816.1282, 4020712.79491
46, 0, 4, -13182728.8288, 4020270.70952
47, 0, 1, -13182371.9348, 4020899.79923
48, 0, 4, -13182977.2137, 4020313.4976
49, 0, 6, -13183466.785, 4021672.57214
50, 0, 4, -13182190.9868, 4021523.88492
51, 0, 3, -13182007.8717, 4021027.19411
52, 0, 3, -13182026.6432, 4020720.19992
53, 0, 4, -13182272.254, 4021502.65916
54, 0, 4, -13182754.5863, 4020291.47169
55, 0, 4, -13182104.6709, 4020273.62172
56, 0, 2, -13182628.246, 4021099.11984
57, 0, 3, -13182672.4407, 4020530.12387
58, 0, 6, -13181373.4479, 4021388.71155
59, 0, 3, -13182403.5553, 4021322.18513
60, 0, 5, -13183292.6851, 4020475.221
61, 0, 4, -13182260.1501, 4020277.69939
62, 0, 2, -13182704.2071, 4020979.23721
63, 0, 5, -13181617.6227, 4021139.49057
64, 0, 5, -13182439.752, 4020075.73615
65, 0, 5, -13181620.4401, 4021463.83508
66, 0, 6, -13181834.6013, 4019844.07918
67, 0, 5, -13183276.8847, 4020938.66187
68, 0, 3, -13182088.23, 4020529.19755
69, 0, 4, -13182956.1903, 4020304.45442
70, 0, 6, -13182810.0348, 4019845.39002
71, 0, 2, -13182493.4861, 4021139.86424
